,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
0,oCqSNNzAMsU,GARENA VAI DAR AS SALAS PERSONALIZADAS ?! BUG NO YOUTUBE FFCS #GB12,2020-11-30T21:30:10Z,UCRtC1prK5YSmUaJoIVoWO0Q,GB12,20,2020-12-01T00:00:00Z,gb12|canal do gb|canal do gb12|canal do gb da garena|gb da garena|gb|gb ff|gb free fire|garena free fire|garena|garena ff|garena vai dar salar personalizada|bug no youtube|final ffcs|bug youtube|sala personalizada free fire ao vivo|sala personalizada|sala personalizada free fire|10 salas|recompensas ffcs,806520,233646,1509,18158,https://i.ytimg.com/vi/oCqSNNzAMsU/default.jpg,False,False
1,dHFo8g0hV8k,UM GRANDE SONHO SE REALIZANDO😭❤,2020-11-30T22:05:38Z,UCOW42Si7-sciVAhO1RkJHEw,Rhay Almeida Mãe De Dois,22,2020-12-01T00:00:00Z,conquista|casa nova|rhay almeida|mãe de dois,430229,143121,686,23199,https://i.ytimg.com/vi/dHFo8g0hV8k/default.jpg,False,False
2,VgVzTgjKZ7k,BLACKPINK - THE INVITATION,2020-12-01T03:00:04Z,UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,10,2020-12-01T00:00:00Z,YG Entertainment|YG|와이지|K-pop|BLACKPINK|블랙핑크|블핑|제니|로제|리사|지수|Lisa|Jisoo|Jennie|Rosé|BLINK|블링크|Lovesick Girls|BLACKPINK Lovesick Girls|블랙핑크 Lovesick Girls|THE ALBUM|BLACKPINK THE ALBUM|블랙핑크 THE ALBUM|BLACKPINK LSG|LSG|블랙핑크 LSG,2170066,547915,3441,40520,https://i.ytimg.com/vi/VgVzTgjKZ7k/default.jpg,False,False
3,KhuqGwtNkB0,O PIOR HACKER DO AMONG US !!! - ANIMAÇÃO,2020-11-30T15:00:43Z,UCnILf6-9wEARZW_HyAdTfxw,OneVolts,1,2020-12-01T00:00:00Z,onevolts|one volts|o pior hacker do among us|among us|impostor|among us hacker|among us hack|among us the hacker|among us funny|among us animation|among us animation meme|among us animation funny|among us animação|animação among us|among us animação engraçada|animação engraçada|animação|onevolts among us|among us onevolts,707155,39009,1869,1809,https://i.ytimg.com/vi/KhuqGwtNkB0/default.jpg,False,False
4,yOasHSTvHZk,O PAPAI NOEL SE MEXEU SOZINHO DE MADRUGADA NA MANSÃO DE NATAL!,2020-11-30T22:00:10Z,UCOPS25AxMB9te9_-AHt3JEg,PEIXE,24,2020-12-01T00:00:00Z,peixe|peixinho|papai noel|se mexeu sozinho|mansao de natal|foganoli|joao|almeida|joao almeida,393454,67249,511,3302,https://i.ytimg.com/vi/yOasHSTvHZk/default.jpg,False,False
5,6pVm-j6-xN4,COPA NFA SEASON 4 - GRANDE FINAL DIA 1 #COPANFA,2020-12-01T02:26:56Z,UCIVnGR9XPef8boJWJHfQAiA,NFA CHANNEL,20,2020-12-01T00:00:00Z,liga nfa|nfa|liga|free fire|garena|lbff|copa ff|liga brasileira|pro player|campeonato|torneio|ss|bdl|b4|los grandes|lgd|loud|loudgg|laude|pain|faz o p|god|god esports|deuses|kof|anarchysons|intz|fsk|forsaken|samuca|ale|el|gato|piu|piuzinho|thurzin|maellen|booyah|voltan|codiguin|cerol|bak|coreano|jordan|racha|price|elton|eltin|huntergod|wins|hudson|nobru|tv|ygorx|dantes|since|sharin|will|bradook|kronos|ggeasy|babi|coringa|victor|levelup|buxexa|crusherfooxi|esports|blak|blakn444,418675,50500,2466,58,https://i.ytimg.com/vi/6pVm-j6-xN4/default.jpg,False,False
6,g5gDmsvMfiQ,Pabllo Vittar feat POCAH - BANDID* (Coreografia Oficial),2020-12-01T00:00:09Z,UCugD1HAP3INAiXo70S_sAFQ,Pabllo Vittar,10,2020-12-01T00:00:00Z,bandida|bandida coreografia|pabllo vittar|pabllo vittar coreografia|pabllo vittar bandida coreografia|pablo vittar|pablo vitar|pabllo vittar coreografia oficial|pabllo vittar official choreography|bandid|bandid*|pabllo vittar bandida dance video,248583,52367,268,3565,https://i.ytimg.com/vi/g5gDmsvMfiQ/default.jpg,False,False
7,CoY9LZ5XeBE,Roda Viva | Alexandre Kalil | 30/11/2020,2020-12-01T02:53:45Z,UCNVsZnDXOM4PodYIEgM2e4w,Roda Viva,25,2020-12-01T00:00:00Z,roda viva|tv cultura|debate|jornalismo|entrevista|Vera Magalhães|kalil|Alexandre Kalil,72782,5833,664,764,https://i.ytimg.com/vi/CoY9LZ5XeBE/default.jpg,False,False
8,999431spLqI,"BOCA A BOCA S03E01 | DULCE MARIA, GLORIA GROOVE, e mais!",2020-12-01T00:09:03Z,UCgSvw7asvNq7wJWKMSW28Eg,Bianca Andrade,22,2020-12-01T00:00:00Z,Boca A Boca|Bianca Andrade|Boca Rosa|Mamãe Noel|Natalino|Natal|Bia Noel|Marcela McGowan|Laddy Nada|Dulce Maria|Gloria Groove|WC no Beat,129238,15749,90,298,https://i.ytimg.com/vi/999431spLqI/default.jpg,False,False
9,zJILkG5KVS8,ELES FICARAM BRAVOS? FIZ UMA PORTA INVISIVEL NA MANSÃO DE NATAL!,2020-11-30T21:00:11Z,UCGfBwrCoi9ZJjKiUK8MmJNw,Pietro Guedes,22,2020-12-01T00:00:00Z,pietro|guedes|pietro guedes|190 pietro|isa|paoli|isa paoli|ingrid|ohara|ingrid ohara|gregory kessey|gregory|jeanny|im sors|luiza|parente|luiza parente|trollagem|porta invisivel|porta,152858,33324,264,990,https://i.ytimg.com/vi/zJILkG5KVS8/default.jpg,False,False
