,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
0,-IeBK0TsHqI,"Ontario to enter provincewide lockdown Saturday, sources say",2021-04-01T02:30:50Z,UCKjU3KzdbJE1EFcHVqXC3_g,CBC News: The National,25,2021-04-01T00:00:00Z,COVID19|Coronavirus|Canada|Ontario|covid-19 ontario|covid cases ontario|covid variants ontario|ontario lockdown|covid-19|coronavirus|coronavirus outbreak|coronavirus canada|covid-19 canada|covid-19 updates|coronavirus pandemic|covid variant ontario|coronavirus news|covid variant news|covid news|covid-19 cases ontario|Doug Ford covid-19|ontario ICUs|ontario covid crisis|CBC|The National|Katie Nicholson,198608,1037,5340,0,https://i.ytimg.com/vi/-IeBK0TsHqI/default.jpg,True,False
1,GsT_NQZSMtA,Acting challenges with Tommy are absolutely HILARIOUS,2021-03-31T22:00:05Z,UC1n_PfsVqxllCcnMPlxBIjw,Wilbur Soot,20,2021-04-01T00:00:00Z,wilbur soot|live|wilbur live|wilbur plays,857868,137668,577,9343,https://i.ytimg.com/vi/GsT_NQZSMtA/default.jpg,False,False
2,uKPUiVuunAg,Goodbye Old Stuff! Hammer Jam is BACK! (Clash Of Clans Official),2021-03-31T08:07:41Z,UCD1Em4q90ZUK2R5HKesszJg,Clash of Clans,20,2021-04-01T00:00:00Z,clash of clans|COC|Clash of Clans Gameplay|Clash of Clans Strategy|Clash of Clans Animation|Clash of Clans Commercial|Clash of Clans Attacks|Clash of Clans Town Hall|Hog Rider|PEKKA|Clan Wars|season challenges|clan war leagues|clash on|clan game|clan games|hammer jam|clash of clans new update|coming soon|teaser|last town hall 13 challenge|town hall 13|archer queen|yt:cc=on,8740990,189484,7646,8859,https://i.ytimg.com/vi/uKPUiVuunAg/default.jpg,False,False
3,t-_VPRCtiUg,The Secret of Synchronization,2021-03-31T13:29:46Z,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,27,2021-04-01T00:00:00Z,veritasium|science|physics|Strogatz|sync|synchronization|pendulum|metronome|metronomes,1636245,113394,1028,5498,https://i.ytimg.com/vi/t-_VPRCtiUg/default.jpg,False,False
4,yOVSgzp4O9s,The Victory of the Underdog! | Germany vs. North Macedonia 1-2 | Highlights | World Cup Qualifiers,2021-03-31T22:00:19Z,UC7am34-1rGU_ky1vWYnoOJQ,German Football,17,2021-04-01T00:00:00Z,DFB|German Football|Football|Soccer|Germany|Live Football|Football Highlights|North Macedonia|Germany North Macedonia|Germany North Macedonia Highlights|Highlights|Best of|Goals|Team Germany|German National Team|World Cup Qualifiers|Deutsche Nationalmannschaft|ilkay gündogan|goran pandev|eljif elmas,1052885,17727,720,3716,https://i.ytimg.com/vi/yOVSgzp4O9s/default.jpg,False,False
5,6FW-glAaTKU,reclaiming power : Dancing with the Devil,2021-03-30T19:00:16Z,UCZkURf9tDolFOeuw_4RD7XQ,Demi Lovato,24,2021-04-01T00:00:00Z,[None],4317168,166472,4686,8052,https://i.ytimg.com/vi/6FW-glAaTKU/default.jpg,False,False
6,nXKbdG2qBJU,Why Does Pepsi Have a Game Show?,2021-03-31T17:33:29Z,UCTSRIY3GLFYIpkR2QwyeklA,Drew Gooden,23,2021-04-01T00:00:00Z,drew gooden|comedy|commentary|reaction|vine|drew gooden vine|road work ahead guy|parody|rant|cringe,800543,79253,267,5706,https://i.ytimg.com/vi/nXKbdG2qBJU/default.jpg,False,False
7,9TkhNLOwtIk,Dream Learns To Swim...,2021-04-01T03:21:46Z,UCZWBGXa6kiaWo9-pE8CX6Dg,Dream Shorts,22,2021-04-01T00:00:00Z,[None],706231,130072,555,9104,https://i.ytimg.com/vi/9TkhNLOwtIk/default.jpg,False,False
8,adLajTjaV9Q,Lil Tjay - Born 2 Be Great (Official Audio),2021-03-31T16:01:41Z,UCEB4a5o_6KfjxHwNMnmj54Q,Lil Tjay,10,2021-04-01T00:00:00Z,Lil Tjay|Destined 2 Win|Steady Calling My Phone|Calling My Phone TikTok|TikTok Lil Tjay|Viral TikTok|Cant Get You Out My Mind|NYC Rap|Bronx|Lil Tjay Calling My Phone|6lack Calling My Phone|Atlanta Rap|Atlanta|Soundcloud Rap|Lil Tjay Steady Calling My Phone|Lil Tjay Destined 2 Win Album|Creed|Rocky|Born 2 Be Great|Lil Tjay Boxing|Mike Tyson|Lil Tjay Born 2 Be Great,998024,104637,789,9690,https://i.ytimg.com/vi/adLajTjaV9Q/default.jpg,False,False
9,AOtUD2890Ow,TEACHING MY BOYS HOW TO TREAT A LADY!! #shorts,2021-03-31T02:10:39Z,UCoVhZLxKJXXUmaLdox2zrVQ,The Furrha Family,24,2021-04-01T00:00:00Z,[None],776144,46188,1750,642,https://i.ytimg.com/vi/AOtUD2890Ow/default.jpg,False,False
10,24KbaKlCDDI,Zola | Official Trailer HD | A24,2021-03-31T12:45:01Z,UCuPivVjnfNo4mb3Oog_frZg,A24,1,2021-04-01T00:00:00Z,a24|a24 films|a24 trailers|independent films|trailer|HD|official|movie|film|a24 movies|oscar winner|academy award winner,333113,6429,375,696,https://i.ytimg.com/vi/24KbaKlCDDI/default.jpg,False,False
11,F6Zy_mLgSNQ,OFFICIAL TRAILER: Rick and Morty Season 5 | adult swim,2021-03-30T14:00:01Z,UCgPClNr5VSYC3syrDUIlzLw,[adult swim junior],24,2021-04-01T00:00:00Z,rick and morty|rick and morty season 5|rick and morty season 5 trailer|adult swim|rick and morty trailer|rick and morty season 5 teaser|justin roiland|dan harmon|pickle rick|rick and morty season 5 release date|rick and morty 5|rick and morty 2021|adult swim rick and morty|rick and morty season 5 official trailer|rick and morty season 5 2021,8370539,176422,2909,10492,https://i.ytimg.com/vi/F6Zy_mLgSNQ/default.jpg,False,False
