,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
0,ug8wA-Ds0Cw,LOUISA WEINT WEGEN BABY 😭👼🏻 | Nader Louisa,2021-02-28T17:00:22Z,UCmO35eVuAzdT1wlcUHHF8JA,Jindaouis,22,2021-03-01T00:00:00Z,[None],589730,60097,499,2050,https://i.ytimg.com/vi/ug8wA-Ds0Cw/default.jpg,False,False
1,qnCjBQ6PO9A,Wir haben uns ein Ferienhaus in ... gekauft !! 😍 | Bibi,2021-02-28T10:00:14Z,UCHfdTAyg5t4mb1G-3rJ6QsQ,BibisBeautyPalace,26,2021-03-01T00:00:00Z,Bibi|BibisBeautyPalace Bibis Beauty Palace|Bianca Heinicke|Julian Classen|Julian Claßen|Julian|Julienco|Julianca|Bibi und Julian|10 Arten|lachen|lustig|funny|prank,910679,44019,3140,3060,https://i.ytimg.com/vi/qnCjBQ6PO9A/default.jpg,False,False
2,nJui_vKCt6c,Christina Perri - Jar of Hearts (Kiara) | The Voice Kids 2021 | Blind Auditions,2021-02-28T14:00:13Z,UCsaKxIA9snv1Wrh_sw1DFvg,The Voice Kids,24,2021-03-01T00:00:00Z,Christina Perri - Jar of Hearts (Kiara)|Christina Perri|Jar of Hearts|Kiara|The Voice Kids|The Voice Kids Deutschland|The Voice Kids Germany|Voice Germany|TVK|tvk 2021|the voice 2021|The Voice Kids Germany 2021|The Voice Kids Blind Audition|The Voice Sat.1|Sat.1|Talent Show|Show|Casting|Coaches|Team|Singen|Kinder|Staffel 9|neunte Staffel|Auftritt|Lied|Song|Alvaro Soler|Wincent Weiss|Stefanie Kloß|Michi Beck|Smudo|Blind Audition,167602,11156,77,605,https://i.ytimg.com/vi/nJui_vKCt6c/default.jpg,False,False
3,xtcVwuauVV0,ATEEZ(에이티즈) - ‘불놀이야 (I'm The One)’ Official MV,2021-03-01T09:00:00Z,UCQdq-lqPEq_yZ_wP_kuVB9Q,KQ ENTERTAINMENT,10,2021-03-01T00:00:00Z,KQ|케이큐|에이티즈|ATEEZ|HONGJOONG|SEONGHWA|YUNHO|YEOSANG|SAN|MINGI|WOOYOUNG|JONGHO|홍중|성화|윤호|여상|산|민기|우영|종호|김홍중|박성화|정윤호|강여상|최산|송민기|정우영|최종호|KPOP|KPOP MV|KPOP Music video|ATEEZ Music Video|ATEEZ MV|ATEEZ FEVER|ATEEZ ZERO FEVER PART 2|에이티즈 제로 피버 파트투|ATEEZ 제로 피버 파트투|불놀이야|Fireworks|에이티즈 불놀이야|ATEEZ Fireworks|Fireworks MV|불놀이야 뮤비|불놀이야 뮤직비디오|Fireworks 뮤비|Fireworks Music Video|에이티즈 불놀이야 뮤직비디오|ATEEZ Fireworks 뮤비|에이티즈 불놀이야 뮤비|에이티즈 Fireworks 뮤비|ateez fireworks|ATEEZ 불놀이야,1371439,418739,2243,76882,https://i.ytimg.com/vi/xtcVwuauVV0/default.jpg,False,False
4,y7LJrh5UTr4,Oprah With Meghan And Harry First Look | Almost Unsurvivable,2021-03-01T00:06:31Z,UClzCn8DxRSCuMFv_WfzkcrQ,CBS,24,2021-03-01T00:00:00Z,Oprah|Prince Harry,1104881,4106,1074,1905,https://i.ytimg.com/vi/y7LJrh5UTr4/default.jpg,False,False
5,1mTel6giKEg,Wincent Weiss - Feuerwerk (Fabio) | The Voice Kids 2021 | Blind Auditions,2021-02-28T17:00:01Z,UCsaKxIA9snv1Wrh_sw1DFvg,The Voice Kids,24,2021-03-01T00:00:00Z,Wincent Weiss - Feuerwerk (Fabio)|Wincent Weiss|Feuerwerk|Fabio|The Voice Kids|The Voice Kids Deutschland|The Voice Kids Germany|Voice Germany|TVK|tvk 2021|the voice 2021|The Voice Kids Germany 2021|The Voice Kids Blind Audition|The Voice Sat.1|Sat.1|Talent Show|Show|Casting|Coaches|Team|Singen|Kinder|Staffel 9|neunte Staffel|Auftritt|Lied|Song|Alvaro Soler|Stefanie Kloß|Michi Beck|Smudo|Blind Audition|Talente,84475,3842,47,291,https://i.ytimg.com/vi/1mTel6giKEg/default.jpg,False,False
6,dcza-wL5d0A,Die große Show-Eröffnung der Coaches zum Staffelstart | The Voice Kids 2021 | Blind Auditions,2021-02-28T11:00:28Z,UCsaKxIA9snv1Wrh_sw1DFvg,The Voice Kids,24,2021-03-01T00:00:00Z,The Voice Kids|Voice|TVK|2021|Gesangsshow|Coaches|Talente|Sänger|Musik|Show|Songs|Cover|Staffel 9|neunte Staffel|Episode 1|Folge 1|erste Folge|Blind Audition|Blinds|Auftritte|The Voice Kids Deutschland|The Voice Kids Germany|Voice Germany|The Voice Kids Blind Audition|The Voice Sat.1|Sat.1|Talent Show|Casting|Alvaro Soler|Wincent Weiss|Stefanie Kloß|Michi Beck|Smudo|Eröffnung|Start|Staffelauftakt|Beginn|Auftakt|Showbeginn,153812,5840,96,431,https://i.ytimg.com/vi/dcza-wL5d0A/default.jpg,False,False
7,9sf-3Q8EcAE,"Was, wenn die Erde plötzlich zu Gold wird? - Die Gold-Apokalypse",2021-02-28T12:00:02Z,UCwRH985XgMYXQ6NxXDo8npw,Dinge Erklärt – Kurzgesagt,27,2021-03-01T00:00:00Z,Gold|Apokalypse|Midas|Kurzgesagt,333357,37891,343,2642,https://i.ytimg.com/vi/9sf-3Q8EcAE/default.jpg,False,False
8,MhbRw04ZBx8,Oprah With Meghan And Harry First Look | It Has Been Unbelievably Tough,2021-03-01T00:06:36Z,UClzCn8DxRSCuMFv_WfzkcrQ,CBS,24,2021-03-01T00:00:00Z,Oprah|Prince Harry,959761,2842,845,1100,https://i.ytimg.com/vi/MhbRw04ZBx8/default.jpg,False,False
9,WnGGjygJH4Q,Hamid sucht Sportwagen mit 700 PS I GRIP,2021-02-28T19:15:00Z,UCak3selG2oi5vn7sbqdaULA,GRIP - Das Motormagazin,2,2021-03-01T00:00:00Z,GRIP|RTL2|Motormagazin|RTLZWEI|Grip Hamid|Grip das Motormagazin|tv now grip|grip automagazin|grip magazin|grip event|grip youtube|Det Müller|Matthias Malmedie|Helge Thomsen|Cyndie Allemann|Niki Schelle|Auto Trends|Auto|700 ps|sportwagen|hamid sucht|lambo|ferarie|ferrari,269545,15428,198,1377,https://i.ytimg.com/vi/WnGGjygJH4Q/default.jpg,False,False
10,B4FarlplgXM,Statement zur aktuellen Lage.,2021-02-28T12:00:03Z,UCvU1c8D5n1Rue3NFRu0pJSw,Rezo ja lol ey,24,2021-03-01T00:00:00Z,rezo|rezo ja lol ey|ja lol ey|unterhaltung|witzig|lustig|spaß|haha|statement|Renzo|Twitch|rezo twitch|rezo livestream|rezo statement|rezo highlights,346165,39498,2260,1700,https://i.ytimg.com/vi/B4FarlplgXM/default.jpg,False,False
11,KagbrPEPZkE,No Angels - Daylight In Your Eyes (Live @ ARD Schagerchampions 2021),2021-02-28T18:09:01Z,UC08fEEhdBVuMv-QOX_XzgFw,No Angels,10,2021-03-01T00:00:00Z,No Angels|Popstars|Cheyenne Records|noangels|nadja benaissa|sandy mölling|jessica wahls|lucy diakovska|schlagerchampions|florian silbereisen|schlagerchampions 2021|no angels 20|daylight in your eyes|celebration version|20 jahre no angels|jubiläumsjahr|diye|silbereisen no angels|auftritt no angels|no angels comeback|no angels schlagerchampions|no angels live|no angels daylight live|no angels daylight in your eyes live|schlagerchampions no angels auftritt,42493,1484,95,230,https://i.ytimg.com/vi/KagbrPEPZkE/default.jpg,False,False
12,VYEtNWp5VgA,20 WOMEN VS 1 SIDEMEN: HARRY EDITION,2021-02-28T18:23:08Z,UCDogdKl7t7NHzQ95aEwkdMw,Sidemen,24,2021-03-01T00:00:00Z,sidemen|sidemen sunday|#sidemensunday,6522435,638799,1770,52428,https://i.ytimg.com/vi/VYEtNWp5VgA/default.jpg,False,False
13,0lbZblpbZ3I,400€ bei ABOUT - FACE ausgegeben... 🥵 was kann die neue Makeup Marke von HALSEY? 🤨,2021-02-28T17:30:09Z,UCDAhDUmNuxVaH3N5yHOnL3g,Alycia Marie,26,2021-03-01T00:00:00Z,alycia marie|alicia marie|alycia marie makeup tutorial|make up tutorial deutsch|halsey|halsey makeup|halsey about face|about face makeup|about face review|about face halsey review|about face make up review,68482,6241,33,241,https://i.ytimg.com/vi/0lbZblpbZ3I/default.jpg,False,False
14,TK-RH9nrbj4,Warum kommt hier eig nix mehr?,2021-02-28T17:00:17Z,UCMlYZ3__1iLMFxfeqyTcHQw,InscopeLifestyle,24,2021-03-01T00:00:00Z,inscopelifestyle|inscope lifestyle|vlog|long time no see|freizeit|spaß,180109,33616,209,862,https://i.ytimg.com/vi/TK-RH9nrbj4/default.jpg,False,False
15,tGHiM2agQ8Y,Jan Köppen im engsten Escape Room der Welt! | Duell um die Welt | ProSieben,2021-02-28T13:00:16Z,UCmoa-beOd9dBmZIiLVXB8Bw,Joko & Klaas,24,2021-03-01T00:00:00Z,Jan Köppen im engsten Escape Room der Welt!|Jan Köppen Duell um die Welt|Jan Köppen Escape Room|Escape Room duell um die welt|kleinster escape room|tödlichster escape room|duell um die welt neue folge|dudw neue folge|dudw preview|duell um die welt klaas|duell um die Welt joko|Wer kann mehr|Duell um die Welt|Joko gegen Klaas|Joko Winterscheidt|Klaas Heufer-Umlauf|Circus Halligalli|DUDW|MTV Home|neo paradise|Palina Rojinski|Oma Violetta|Olli Schulz,168885,5934,158,279,https://i.ytimg.com/vi/tGHiM2agQ8Y/default.jpg,False,False
16,qrH9vMZBwAk,Character Demo - Hu Tao: Let the Living Beware | Genshin Impact,2021-03-01T04:42:22Z,UCiS882YPwZt1NfaM0gR0D9Q,Genshin Impact,20,2021-03-01T00:00:00Z,Amber|amber vtuber|genshi|genshi game|genshi impact|genshi video|genshin|genshin game|genshin impact|genshin impact 2020|genshin impact game|genshin impact good|genshin impact graphics|genshin impact introduction|genshin impact manga|genshin impact wiki|geshin|geshin game|Teyvat|yuanshen game|miHoYo China|miHoYo Japan|adventure story|open world game|anime style|MMORPG|anime games|mobile game|MMO PlayStation|yt:cc=on,1091865,154898,473,13377,https://i.ytimg.com/vi/qrH9vMZBwAk/default.jpg,False,False
17,jb7Smkvaigc,haare ab.,2021-02-28T09:00:15Z,UCs33ZUq-3M7WPOyyRhgspeA,Annikazion,24,2021-03-01T00:00:00Z,Annika|Annikazion|annikation|glaze|buzzcut|haare ab|haare abschneiden|rasieren|abrasieren|haare rasieren|frau|mann|männlich|weiblich|rollenbild|gesellschaft|kritik|hate|reaktionen|reaktion|ich schneide mir eine glaze|glaze rasieren|blondieren|blond|platin|silber|kurze haare,190442,22403,417,1921,https://i.ytimg.com/vi/jb7Smkvaigc/default.jpg,False,False
18,bGOthUru6hA,Die Wahrheit über Spotify,2021-02-28T11:00:10Z,UCZHpIFMfoJJ_1QxNGLJTzyA,MrWissen2go,27,2021-03-01T00:00:00Z,wissen2go|mrwissen2go|die wahrheit über|spotify|die wahrheit über spotify|musikstreaming|streaming|analyse|kritik|stellungnahme|doku|2021,299468,21384,260,2805,https://i.ytimg.com/vi/bGOthUru6hA/default.jpg,False,False
19,El2QEy1lPFw,Saad Lamjarred - LGHADI WEHDOU  | 2021 | سعد لمجرد و كريم زياد و الهواريات - الغادي وحدو,2021-02-28T18:00:15Z,UC9hJ5XcjHXYjwDOqrlQUuow,Saad Lamjarred | سعد لمجرد,10,2021-03-01T00:00:00Z,Arabic Music|Arabic Song|Arabic Songs|Lamjarred|Lamjarred 2017|Lghadi Wehdou|Sa3d Lamjarred|Sa3d Lamjarred 2017|Saad|Saad Lamjarad|Saad Lamjared|Saad Lamjarred|Saad Lamjarred 2017|Saad Lamjarred And Karim Ziad And Howariate|Saad Lmjarad|اغاني|اغاني 2017|اغاني انت معلم|اغاني سعد المجرد|الغادي وحدو|سعد المجرد|سعد المجرد 2017|سعد لمجرد|سعد لمجرد 2017|سعد لمجرد و كريم زياد و الهواريات,2770419,327864,13981,52588,https://i.ytimg.com/vi/El2QEy1lPFw/default.jpg,False,False
20,p7p33x3uv2c,SCHMINK PRANK bringt @Raffa's Plastic Life ZUM WEINEN & jetzt fühl ich mich SCHLECHT 😢🥺,2021-02-28T10:30:02Z,UCqBIRLzhOkLfi1nW1VI40cw,Marvyn Macnificent,26,2021-03-01T00:00:00Z,schmink prank|ich Pranke|raffasplasticlife|raffa marvyn|marvyn|Marvyn Macnificent|marvin magnificent|schminke|tutorial|beauty|deutsch|lustig|challenge|einfaches makeup tutorial|make over|makeup transformation|ich schminke,98903,8004,497,387,https://i.ytimg.com/vi/p7p33x3uv2c/default.jpg,False,False
21,QKpWvPEZ5bo,The Main Character of Dream SMP,2021-02-28T20:49:09Z,UCFAiFyGs6oDiF1Nf-rRJpZA,Technoblade,20,2021-03-01T00:00:00Z,Minecraft|Technoblade|Technothepig|Hypixel,2302146,377953,873,27193,https://i.ytimg.com/vi/QKpWvPEZ5bo/default.jpg,False,False
22,Fbr55An8VPI,HIGHLIGHTS | Canelo Alvarez vs. Avni Yildirim,2021-02-28T04:39:19Z,UCurvRE5fGcdUgCYWgh-BDsg,DAZN Boxing,17,2021-03-01T00:00:00Z,dazn|boxing|highlights|full fight|ko|knockout|ryan garcia|top 10|canelo|anthony joshua|ggg|haney|fight night|avni yildirim|yildirim|turkiye|turkey|mexico,3118813,40999,4178,7662,https://i.ytimg.com/vi/Fbr55An8VPI/default.jpg,False,False
23,Hm3kq-mZrbM,Seit 4 Jahren in Quarantäne,2021-02-28T16:30:03Z,UCoFVakW2P8R3WMP35jSZv1g,Wailam,24,2021-03-01T00:00:00Z,kevlam|animations|wailam|wai|lam|animation|animationstorytime|deutsch|story|storytime|time|wLam,70869,11934,75,562,https://i.ytimg.com/vi/Hm3kq-mZrbM/default.jpg,False,False
24,qJBLmhGwu0o,Giovanni Zarrella - CI SARAI (IRGENDWIE) feat. Pietro Lombardi (Offizielles Video),2021-02-28T11:00:13Z,UC8JETzqWNyTnAtwaq0_dl9A,Schlager für Alle,10,2021-03-01T00:00:00Z,telamo|schlagermusik|Schlager für alle|offizielles Video|Schlager 2019|Schlager Hits|Schlager Charts|Schlager Mix|Schlager Musik|Schlager 2020 neu|Schlager Charts 2020|deutsche Schlager youtube|youtube schlager|giovanni zarrella neues album|giovanni zarrella pietro lombardi|giovanni zarrella bella ciao|Giovanni Zarrella Pietro Lombardi Ci Serai Irgendwann|Irgendwie irgendwo irgendwann|irgendwie irgendwo irgendwann cover|irgendwie irgendwo irgendwann nena,64471,3162,75,153,https://i.ytimg.com/vi/qJBLmhGwu0o/default.jpg,False,False
25,cOzOXMfG3GQ,Amy Poehler and Tina Fey's Opening Monologue - 2021 Golden Globes,2021-03-01T03:06:03Z,UCccjdJEay2hpb5scz61zY6Q,NBC,24,2021-03-01T00:00:00Z,NBC|NBC network|tv|tv shows|entertainment|episode|full episode|trailer|golden globes|red nose day|comedy|free tv|watch tv|watch episodes|andy samberg|sandra oh|Entertainment|TV Series|Celebrities|tv 2021|nbc|watch golden globes|2021 golden globes 2021|golden globe awards|golden globes speech|tina fey golden globes|amy poehler|best golden globes speech|opening monologue|2021,263671,4829,669,743,https://i.ytimg.com/vi/cOzOXMfG3GQ/default.jpg,False,False
26,B3OEQWEwJ8I,ICH HABE SIE ENDLICH!!(CAPITAL BRA SUCUK PIZZA)😍🤤,2021-02-28T17:00:08Z,UC4Ch5593O9PMeqZlfjh57Wg,Evanijo,24,2021-03-01T00:00:00Z,ICH HABE SIE ENDLICH!!(CAPITAL BRA SUCUK PIZZA)😍🤤|capital bra pizza|neue pizza|sucuk|thunfisch,159890,22199,204,675,https://i.ytimg.com/vi/B3OEQWEwJ8I/default.jpg,False,False
27,H0LE-NOz7Tw,"Stuttgarts Endo trifft doppelt, Schalkes Ende naht: Stuttgart - Schalke 5:1 | Bundesliga | DAZN",2021-02-28T23:00:08Z,UClBFnQJMlinWDCvfSXj60CA,DAZN Bundesliga,17,2021-03-01T00:00:00Z,Wataru Endo|Endo|Stuttgart|VfB Stuttgart|VfB|Schalke|FC Schalke 04|S04|Stuttgart Schalke|Stuttgart vs Schalke|Stuttgart - Schalke|VfB Stuttgart vs FC Schalke 04|VfB Stuttgart - FC Schalke 04|Stuttgart Schalke 5 1|Stuttgart vs Schalke 5-1|Stuttgart - Schalke 5:1|Bundesliga|Bundesliga Highlights|Bundesliga DAZN|DAZN Bundesliga|DAZN|Highlights Bundesliga|DAZN Highlights|DAZN Highlights Bundesliga|Bundesliga Highlights DAZN,187895,6254,81,870,https://i.ytimg.com/vi/H0LE-NOz7Tw/default.jpg,False,False
28,l_m3u1kgH4g,Ich konnte es nicht glauben😔 Bye Bye Becca Cosmetics,2021-02-28T16:00:12Z,UCwPCmY1KbhSz_RlNk8qlnTw,Hatice Schmidt,26,2021-03-01T00:00:00Z,Hatice|Schmidt|Hati|becca cosmetics|becca cosmetics closing|becca cosmetics closing down|becca cosmetics closing sale|becca|becca under eye brightening corrector|becca cosmetics ultimate coverage 24 hour foundation|becca cosmetics zero no pigment foundation|becca cosmetics skin love weightless blur foundation|becca cosmetics foundation|becca cosmetics highlighter|becca cosmetics hydra-mist set & refresh powder|becca cosmetics schließt|bye bye becca,87162,5913,80,274,https://i.ytimg.com/vi/l_m3u1kgH4g/default.jpg,False,False
29,5my-QPTCrd4,KELVIN MUSS OPERIERT WERDEN.. (24h alleine im krankenhaus),2021-02-28T17:27:26Z,UCG42F4hEt69Fud85Z988vKQ,Kelvin und Marvin,24,2021-03-01T00:00:00Z,kelvin und marvin|kelvin|und|marvin|brüder|brothers|bros|marvfit|kelvinfiti|krankenhaus|24h|24 stunden|im|1 tag|1 tag lang|essen|vlog|zimmer|übernacht|lebensmittel|eis|madel op|mandeln|op|witzig|lustig|erstes mal,164229,23808,660,3934,https://i.ytimg.com/vi/5my-QPTCrd4/default.jpg,False,False
30,cG8fxIN8GME,ALLES ÜBER MEINEN UNFALL!,2021-02-27T15:14:14Z,UCDfwIYlbPIAMyJpPbAl2AJQ,SINANG45,10,2021-03-01T00:00:00Z,Sinan-G|Unfall|Autounfall|Rooz,357716,28870,848,2096,https://i.ytimg.com/vi/cG8fxIN8GME/default.jpg,False,False
31,U-vNDHUskEg,EIN JAHR OHNE Social Media! | Selbstexperiment | SOPHIA THIEL,2021-02-28T09:00:08Z,UCy5Kf4cPV_sCi_Qsjk03uCg,Sophia Thiel,17,2021-03-01T00:00:00Z,Social|Media|ein Jahr|Selbstexperiment|Sophia Thiel|Ein Jahr ohne Social Media|Offline|Digital Detox|Auszeit|Abstand|Cyber|Hate|Mobbing|Soziale Medien|Apps|gelöscht|Erfahrungen|YouTube|Facebook|Instagram|TikTok|Einsamkeit|Los Angeles|Tipps|Tricks,176362,8441,225,630,https://i.ytimg.com/vi/U-vNDHUskEg/default.jpg,False,False
32,y728UY7kwqk,Allzeithoch: Jetzt noch investieren oder abwarten? | Finanzfluss,2021-02-28T09:00:15Z,UCeARcCUiZg79SQQ-2_XNlXQ,Finanzfluss,27,2021-03-01T00:00:00Z,All time high|all time highs|allzeithoch|dax all time high|historische allzeithochs|investieren am allzeithoch|temporäre all time highs|temporäre allzeithochs|wann investieren|investieren trotz allzeithoch|dax allzeithoch|corona crash|market timing bei all time highs|market timing|allzeithoch als bewertungskriterium|nicht investieren|investieren|reich werden|etf|etfs|aktie|aktien|börse|thomas|finanzfluss|msci world|msci emerging markets|buy & hold,140085,8712,82,630,https://i.ytimg.com/vi/y728UY7kwqk/default.jpg,False,False
33,2k16UeuVqLQ,Mit mir nicht mehr! Mein neuer Sponsor & die Gründe!,2021-02-28T10:53:41Z,UC8ndOGyD0cLzniUh2Ymg9ig,Kevin Wolter,17,2021-03-01T00:00:00Z,Kevin Wolter|Bodybuilder|Bodybuilding|Sponsor|Smilodox|ESN|Zec+ neuer Sponsor|Produktion|vlog|workout|masse|realtalk|ansage|klartext,159486,11235,441,911,https://i.ytimg.com/vi/2k16UeuVqLQ/default.jpg,False,False
