,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
0,ZoPJVcHYlU0,Celebrating Route 66,2022-04-29T16:46:04Z,UCdq61m8s_48EhJ5OM_MCeGw,GoogleDoodles,1,2022-05-01T00:00:00Z,[None],0,0,0,0,https://i.ytimg.com/vi/ZoPJVcHYlU0/default.jpg,True,True
1,8dJyRm2jJ-U,PSY - 'That That (prod. & feat. SUGA of BTS)' MV,2022-04-29T09:00:10Z,UCrDkAvwZum-UTjHmzDI2iIw,officialpsy,10,2022-05-01T00:00:00Z,PSY|싸이|psy|Psy|박재상|Comeback|coming back|9th|PSY 9th|Psy 9th|P NATION|p nation|피네이션|정규9집|컴백|싸다9|싸다구|PSY9th|구집|9wlq|9집|콘서트|싸이 콘서트|싸이콘서트|That That|that that|that|SUGA|BTS|produced|featuring|MV|music video|Music Video,42136397,4993340,0,303470,https://i.ytimg.com/vi/8dJyRm2jJ-U/default.jpg,False,False
2,QUXYYx4YCIo,Face Off: Jake Paul vs Eddie Hearn with Ariel Helwani,2022-04-29T18:14:32Z,UC7LReVje9aPB4B6XAsXX8WQ,Matchroom Boxing,17,2022-05-01T00:00:00Z,Eddie Hearn|Jake Paul|Taylor Serrano|Ariel Helwani,493599,12287,0,2644,https://i.ytimg.com/vi/QUXYYx4YCIo/default.jpg,False,False
3,cU4CuA5dFz4,Can We Beat A G-Wagon With £1000?,2022-04-29T20:57:52Z,UCNBbCOuAN1NZAuj0vPe_MkA,Car Throttle,2,2022-05-01T00:00:00Z,CarThrottle|Car Throttle|Alex Kersten|Ethan Smale|Jack Joy|g-wagon|mercedes g-wagon|g-class|g-wagen|drag race|peugeot 406|406|saab|trailer|towing,267327,12772,0,634,https://i.ytimg.com/vi/cU4CuA5dFz4/default.jpg,False,False
4,Ujaa3ar4hCA,"Jnr Choi, Russ Millions, G Herbo - TO THE MOON (Video) ft Fivio Foreign, M24, Sam Tompkins",2022-04-29T14:00:11Z,UCOvPs5rbGZfAxacIc31kA3Q,JnrChoiVEVO,10,2022-05-01T00:00:00Z,Jnr Choi TO THE MOON|TO THE MOON Jnr Choi|SS21|Santino Le Saint|melvitto|Omah Lay|Fireboy DML|L.A.X|FRVRFRIDAY|Buju|1da Banton|Olamide|Ya Levis|Lithe|Juls|sam tompkins|gunna|to the moon|jnr choi|epic|epic records|black butter|fivio foreign|herbo|lil herbo|m24|russ millions|drill|nyc|new york drll|ny drill|Hip Hop|Jnr Choi|Russ Millions Herbo feat. Fivio Foreign|M24 Sam Tompkins|Jnr Choi/Epic|THE,474630,31523,0,1301,https://i.ytimg.com/vi/Ujaa3ar4hCA/default.jpg,False,False
5,JyXpzxRr_T0,Kit Connor and Joe Locke take the BFF Test,2022-04-29T17:30:03Z,UCAqEoRfgMCtErK0qsL1cCtw,BuzzFeed UK,22,2022-05-01T00:00:00Z,Alice Oseman|BFF Test|BuzzFeed|BuzzFeed UK|Charlie Spring|Gay|Gay TV|Gay TV Show|Graphic Novel|Heartstopper|Joe Locke|Kit Connor|LGBT|LGBT TV|LGBT TV Show|LGBTQ|LGBTQ TV|LGBTQ TV Show|Netflix|Nick Nelson|Nick and Charlie|Queer|Queer Show|Queer TV|Teen Drama|Webcomic,338359,39065,0,676,https://i.ytimg.com/vi/JyXpzxRr_T0/default.jpg,False,False
6,SNL1828hKIQ,ROSALÍA | CHICKEN SHOP DATE,2022-04-29T16:00:13Z,UCyQ-DUV6lZgoL8wiPusYiUg,Amelia Dimoldenberg,24,2022-05-01T00:00:00Z,[None],553821,47874,0,1224,https://i.ytimg.com/vi/SNL1828hKIQ/default.jpg,False,False
7,ONj9cvHCado,Rammstein - Angst (Official Video),2022-04-29T15:00:14Z,UCYp3rk70ACGXQ4gFAiMr1SQ,Rammstein Official,10,2022-05-01T00:00:00Z,Rammstein|Rammstein Official|Official|Official Video|Rammstein Musik|Rammstein Official Video|Rammstein.Official|Rammstein Channel|Rammstein Video|Rammstein Angst|Rammstein Zeit|Zeit kommt|#Zeitkommt|Zeitkommt|Rammstein Angst Official|Angst Official|Rammstein Angst Video|Rammstein Angst official Video|Angst Rammstein|RammsteinAngst|Angst official Rammstein|Rammstein Angst offizielles Video|Rammstein Angst neues Video|Rammstein Angst new|Angst Video Rammstein,5005379,359270,0,0,https://i.ytimg.com/vi/ONj9cvHCado/default.jpg,True,False
8,w7yAu-uNT7o,'Joe Is Just So So Soft': Kit Connor & Joe Locke Answer The Internet | Heartstopper,2022-04-29T18:00:11Z,UCkJSVi5NPCKT0l02UWyyu7g,Hits Radio,10,2022-05-01T00:00:00Z,kit connor|nick nelson|kit Connor interview|kit Connor answers questions|kit Connor heartstopper|heartstopper|Heartstopper interview|Heartstopper trailer|Heartstopper kit Connor interview|Heartstopper season 1|Heartstopper season 2|Joe locke|Joe locke interview|Joe locke interview heartstopper|Joe locke kit connor|Joe locke heartstopper,326343,39817,0,730,https://i.ytimg.com/vi/w7yAu-uNT7o/default.jpg,False,False
9,qOY8F_ngNWI,TommyInnit Answers the Web's Most Searched Questions | WIRED,2022-04-29T16:00:07Z,UCftwRNsjfRo08xYE31tkiyw,WIRED,24,2022-05-01T00:00:00Z,minecraft streamer|minecraft youtuber|thomas simons|tommyinnit|tommyinnit autocomplete interview|tommyinnit dream|tommyinnit funny|tommyinnit google interview|tommyinnit interview|tommyinnit minecraft|tommyinnit streamer|tommyinnit webs most searched|tommyinnit wired|tommyinnit wired autocomplete interview|tommyinnit wired interview|tommyinnit youtuber|wired|wired interview tommyinnit,565321,83770,0,3132,https://i.ytimg.com/vi/qOY8F_ngNWI/default.jpg,False,False
10,0uGjlJAUVN4,PAINT POUR with @Moriah Elizabeth,2022-04-29T20:00:00Z,UCRmlhJI35IZm5iEEOPcUcHg,Bellamena,26,2022-05-01T00:00:00Z,moriah elizabeth|bellamena|moriah elizabeth bellamena|bellamena moriah|moriah bellamena|marissa moriah|marissa and moriah elizabeth|moriah elizabeth and marissa|marissa instant influencer|instant influencer|paint pour|paint pour with moriah elizabeth|bellamena paint pour|bellamena moriah paint pour|moriah elizabeth paint pour|moriah elizabeth marissa paint pour|moriah marissa collab|moriah elizabeth collab|moriah bellamena collaboration|me collab,347046,21479,0,1336,https://i.ytimg.com/vi/0uGjlJAUVN4/default.jpg,False,False
