,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
0,EAvpSWmoPSA,"Krack Movie Trailer - Raviteja, Shruti Hassan | Gopichand Malineni | Thaman S",2021-01-01T05:30:00Z,UCnSqxrSfo1sK4WZ7nBpYW1Q,Lahari Music | T-Series,10,2021-01-01T00:00:00Z,Krack Movie Trailer - Raviteja|Shruti Hassan | Gopichand Malineni | Thaman S|Krack Movie Teaser - Raviteja|Raviteja|Shruti Hassan|Krack Movie Trailer|Thaman S|Krack Trailer|Krack Songs|Latest Telugu Trailers|Latest Telugu Trailer|Latest Movies|Mass Maharaja|Raviteja Movies|Raviteja New movies|krack telugu movie trailer|ravi teja krack movie trailer|krack trailer telugu|ravi teja krack trailer|krack|krack official trailer|krack movie trailer,4574789,181948,3300,11549,https://i.ytimg.com/vi/EAvpSWmoPSA/default.jpg,False,False
1,sq5pf_LQSIw,"New year का आलस - 2021 Special, आलसी पत्नी, Hindi Moral Stories, Motivational Story, Ajay Chauhan",2021-01-01T03:04:26Z,UCMmHfwNsk0QUe0jhv5zTAFQ,Ajay Chauhan,24,2021-01-01T00:00:00Z,New year का आलस|New year का आलस - 2021 Special|आलसी पत्नी|aalsi patni ka atyachar|aalsi patni kahani|winter special video|hindi moral stories new|hindi moral stories 2020|hindi moral stories new 2020|hindi moral stories kahaniya|hindi moral stories in hindi|hindi moral stories all|hindi moral stories kahaniya new|hindi moral stories hd|ajay chauhan new video|hindi moral stories channel|christmas & winter special|winter special|new year special video,1031555,25523,3835,1001,https://i.ytimg.com/vi/sq5pf_LQSIw/default.jpg,False,False
2,fTjhlpAG21s,"The Kapil Sharma Show - Sara Shocked When Kapil Exposes Varun Uncensored | Varun D, Sara Ali Khan",2020-12-31T14:00:10Z,UC1-BQ2oxqBVtCjMHF-Wf98w,Kapil Sharma,24,2021-01-01T00:00:00Z,K9 Films|stand up artist|Comedian|celebrity|famous personality|film productions|film industry|Comedy nights with Kapil|The Kapil Sharma Show|kapil sharma|kapil sharma movie|kapil sharma k9|kapil sharma news|kapil sharma show|kapil|kapil sharma comedy|kapil sharma new show|kapil sharma new show 2018|kapil sharma show full episodes|kapil sharma show 2019|varun dhawan in the kapil show|varun sara in kapil show|coolie no. 1 episode uncensored|sara ali khan,1954905,81021,9528,3700,https://i.ytimg.com/vi/fTjhlpAG21s/default.jpg,False,False
3,36w7_45CWKk,If 2020 Was A Person | Ashish Chanchlani | Kunal Chhabhria | Akash Dodeja | Simran Dhanwani,2020-12-29T08:47:35Z,UChmCol08IsWTety5a3rMh6w,Kunal Chhabhria,23,2021-01-01T00:00:00Z,Ashish chanchlani|ashish chanchlani new video|kunal chhabhria|kunal chhabhria new video|upgrad|if 2020 was a person|2020 funny video|ashish 2020 video|akash dodeja|jadoo vlogs|simran dhanwani|jashu plays|new year video|ashish new year video|ashish new year funny video|ashish 2020|kunal 2020|kunal chhabhria new year video,11764700,1391446,20797,47623,https://i.ytimg.com/vi/36w7_45CWKk/default.jpg,False,False
4,u0FBbQxAcN0,EMIWAY - ROYAL RUMBLE (PROD BY. BKAY) (OFFICIAL MUSIC VIDEO),2020-12-31T18:27:13Z,UCHmk8iNJHvf5mGN6_pkPc7g,Emiway Bantai,10,2021-01-01T00:00:00Z,emiway|emiway bantai|royal rumble|2020|2021|emiway new song|drill|hip hop|music|pop smoke|rap,2530674,424337,13263,32774,https://i.ytimg.com/vi/u0FBbQxAcN0/default.jpg,False,False
5,vjFoajOMM4Q,Master Mind | the mridul | Nitin,2020-12-30T12:30:04Z,UC0zXnLIFedO97pFsyMxZcFg,The MriDul,23,2021-01-01T00:00:00Z,the mridul|the mridul new video|pragati|pragati comedy video|nitin mridul video|mridul nitin comedy|master mind|mridul video|nitin mridul comedy|mirdul ki video,3606121,116727,6676,6808,https://i.ytimg.com/vi/vjFoajOMM4Q/default.jpg,False,False
6,kyBjcUyxTqU,Loser Will Eat Jolo Chips - Deep Hole Challenge,2020-12-29T10:28:35Z,UCSiDGb0MnHFGjs4E2WKvShw,MR. INDIAN HACKER,28,2021-01-01T00:00:00Z,one chip challenge|spicy chip challenge|jolo chip challenge|unboxing jolochip|jolochip unboxing|tasting jolochip|jolochip challange|wotld hottest chips|hottest chips in world|chips made from carolina reaper|ghost pepper|taste of carolina reaper|chips of carolina reaper|should you try jolochip|taste of jolochips|zolo chip,9538196,450743,25180,26598,https://i.ytimg.com/vi/kyBjcUyxTqU/default.jpg,False,False
7,nlOsZdBZm-o,Bigg Boss Tamil Season 4  | 31st December 2020 - Promo 3,2020-12-31T09:30:10Z,UCvrhwpnp2DHYQ1CbXby9ypQ,Vijay Television,24,2021-01-01T00:00:00Z,biggboss|tamil|vijay television|starvijay|Ulaganayagan|தமிழ்|விஜய் டிவி|தொலைக்காட்சி|Tamil TV|Tamil Shows|Redefining Entertainment|Star|Star Vijay TV|Vijay TV|hotstar|Kamal Haasan|Bigg Boss|Bigg Boss Tamil 4|பிக்பாஸ்|பிக்பாஸ் 4|Bigg Boss Season 4|Teaser,4781011,186235,2789,21217,https://i.ytimg.com/vi/nlOsZdBZm-o/default.jpg,False,False
8,AKd-3Asq60M,MC STΔN - TADIPAAR | 2K20,2020-12-31T18:15:11Z,UC_Q-YjEXDN0ufkU4AoWhU1g,MC STΔN,10,2021-01-01T00:00:00Z,mcstan|new song|mc stan new song|rap song|hip hop|music video|mc|MCSTAN|hiphop|underground|organic|malumsabko|rapper|tiktok|desihiphop|tadipaar|fuckstan|pune|punehiphop|punerap|desirap|desi rap song|desi hip hop song|latest hip hop beats|latest hip hop songs hindi|best rap songs hindi|new rap song hindi|tadipar|desi hip hop|indian hip hop|marathi rap|hindi rap|titletrack|tudipar|tudipaar|yedechalokarobhimaat|fckstan,769905,122311,3507,12845,https://i.ytimg.com/vi/AKd-3Asq60M/default.jpg,False,False
9,XwVjf4pWARY,01 Jan | Daily Current Affairs Live Show #435 | India & World | Hindi & English | Kumar Gaurav Sir |,2021-01-01T02:20:10Z,UCLuBF4Xr1-BIpcpFFm7zp7w,UTKARSH CLASSES JODHPUR,27,2021-01-01T00:00:00Z,nirmal gehlot|utkarsh|utkarsh classes|utkarsh jodhpur|December 2020 current affairs|Daily Current Affairs|Current Affairs|current affairs 2020|current affairs important questions|current affairs for railway bharti|current affairs|current affairs quiz|current affairs questions|current affairs quiz 2020|current affairs questions 2020|current affairs today|daily current affairs|today current affairs|uputkarsh|utkarsh jaipur|utkarsh video|kumar gaurav sir,451622,67456,818,3312,https://i.ytimg.com/vi/XwVjf4pWARY/default.jpg,False,False
