,index,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
0,36625,FKYBHMVrh8Q,"Shor Machega Song: Yo Yo Honey Singh, Hommie Dilliwala | Mumbai Saga | Emraan Hashmi, John Abraham",2021-02-28T05:30:04Z,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,10,2021-03-01T00:00:00Z,hindi songs|2020 hindi songs|new hindi songs|2020 new songs|t-series|tseries|tseries songs|new song|hit songs 2020|hindi 2020 songs|film songs|hindi movie songs|shor machega|shor machega honey singh|shor machega yo yo honey singh|shor machega teaser|Hommie Dilliwala|yo yo honey singh|yo yo honey singh new song|yo yo honey singh songs,27887037,1285264,39780,111539,https://i.ytimg.com/vi/FKYBHMVrh8Q/default.jpg,False,False
1,36626,h9Am4CYaLng,#SarangaDariya​ | Lovestory Songs | Naga Chaitanya | Sai Pallavi | Sekhar Kammula | Pawan Ch,2021-02-28T04:38:01Z,UCNApqoVYJbYSrni4YsbXzyQ,Aditya Music,10,2021-03-01T00:00:00Z,saranga dariya|saranga dariya song|sai pallavi saranga dariya|love story movie|saranga dariya lyrical song|love story songs|love story|love story video songs|naga chaitanya love story songs|love story full songs|saranga dariya love story|naga chaitanya love story movie|sai pallavi saranga dariya song|naga chaitanya love story|sai pallavi love story|sai Pallavi dance|telugu song|Samantha|nagachytanya|saipallavi|Aditya music,8284414,365514,6983,14971,https://i.ytimg.com/vi/h9Am4CYaLng/default.jpg,False,False
2,36627,lyDNK08axEs,TROLLING YOUTUBERS IN MANALI,2021-02-28T06:05:11Z,UCx6F-rETGiz7xf_vkMmX2yQ,Mythpat,24,2021-03-01T00:00:00Z,mythpat vlog|mythpat funny|mythpat slayy point|mythpat techno gamerz|mythpat beyounick|mythpat triggered insaan|mythpat live insaan,4061398,503155,5361,31126,https://i.ytimg.com/vi/lyDNK08axEs/default.jpg,False,False
3,36628,6FGgjqW0pVs,Husband Sothanaigal 2 | Micset,2021-02-28T11:30:14Z,UC5EQWvy59VeHPJz8mDALPxg,Mic Set,23,2021-03-01T00:00:00Z,Husband Sothanaigal 2|husband sothanaigal|husband and wife comedy|husband and wife relationship|husband sothanaigal comedy|micset sothanaigal|sothanaigal|mind voice sothanaigal|mic set sothanaigal|sothanaigal micset|mic set comedy|mike set|micset sriram|micset new episodes|mic set videos|mic set mind voice|micset channel tamil|mic set channel tamil|mic set in tamil|mic set video|micset in tamil|couples comedy|husband wife comedy|husband wife fight,1572239,218843,3345,10529,https://i.ytimg.com/vi/6FGgjqW0pVs/default.jpg,False,False
4,36629,wzrb5FocCj8,Opening 300 Bhoot Ka Baccha👻 | 300 भूत का बच्चा में कितने इनाम निकलेंगे?,2021-02-26T09:52:56Z,UCebC4x5l2-PQxg46Ucv9CsA,Crazy XYZ,28,2021-03-01T00:00:00Z,opening 300 bhoot ka baccha|bhoot ka baccha inaam|child of ghost|kya hai bhoot ke bacche ke ander ka raaj|what is inside 100 bhoot ka baccha|bhoot ka baccha|bhoot|ka|baccha|ghost challenge at night|best experiments in india|hindi science experiments|crazy xyz|tiu,10957276,460707,36978,24617,https://i.ytimg.com/vi/wzrb5FocCj8/default.jpg,False,False
5,36630,F8w6693a1uw,உங்க எல்லாருக்கும் ஒரு surprise !!!!,2021-02-28T16:30:15Z,UCjTlypR4Pu2SqLwYjxBO0Ug,PARATTAI PUGAZH,24,2021-03-01T00:00:00Z,vijaytvpugazh|cookwithcomali|fun|pugazhcomedy|sivaangi|kpy,969784,151824,514,10804,https://i.ytimg.com/vi/F8w6693a1uw/default.jpg,False,False
6,36631,oR00Fk_g6Dw,New Punjabi Song 2021 | Viah Ch Gaah (Full Song) Shivjot Ft Gurlej Akhtar |Latest Punjabi Songs 2021,2021-02-28T05:38:54Z,UClOMt1-g-oqJp6CHHxiqOsA,Melody House,10,2021-03-01T00:00:00Z,Melody House|Melody House New Songs|Melody house latest. songs|melody house 2020|melody house songs|new songs 2020|latest songs 2020|melody house new video|melody house latest video|Punjabi Songs Latest this Week|New Punjabi Songs 2021|Viah Ch Gaah|Shivjot Punjabi Songs|Latest Shivjot Punjabi Songs|New Songs 2021 by Shivjot|The Boss|Gurlez Akhtar,4448686,84507,1849,8123,https://i.ytimg.com/vi/oR00Fk_g6Dw/default.jpg,False,False
7,36632,MSfkDHQdPjI,Mehnge Suit | Nawab | Gurlez Akhtar | Pranjal Dahiya  | The Boss | Raana | Latest Punjabi Songs 2021,2021-02-28T04:30:12Z,UCRZ-8RISMPIQSqhPxgNB2Lg,Expert Jatt,10,2021-03-01T00:00:00Z,latest|new|punjabi|songs|2020|mehnge|suit|mehnge suit|latest new songs|latest punjabi songs|new punjabi songs|nawab|expert jatt|high range|new song|latest punjabi song 2020|korala new song|mankirat aulakh songs|punjabi song|new song 2020|new punjabi song 2020|latest song punjabi|new songs|song|songs 2020|mankirat aulakh all songs|korala maan all song|korala maan new song|top 20 songs punjabi|gurlez akhtar new song|gurlez akhtar song|pranjal|dahiya,2722287,145013,3880,3862,https://i.ytimg.com/vi/MSfkDHQdPjI/default.jpg,False,False
8,36633,_BOnXBcz8LE,EMIWAY X LOKA - NO LOVE (PROD. AAKASH) (OFFICIAL MUSIC VIDEO),2021-02-28T12:44:48Z,UCHmk8iNJHvf5mGN6_pkPc7g,Emiway Bantai,10,2021-03-01T00:00:00Z,emiway|emiway bantai|emiway x loka|loka|emiway new song|no love|music|hip hop|rap|emiway x loka no love,2893942,464704,12522,33131,https://i.ytimg.com/vi/_BOnXBcz8LE/default.jpg,False,False
9,36634,m5RyNpARLoI,Roberrt | Baby Dance Floor Ready | Darshan | Tharun Kishore Sudhir | Arjun Janya | Umapathy Films,2021-02-28T12:28:13Z,UCLtCejNl8eAg4PO_9lf2TIg,Anand Audio,24,2021-03-01T00:00:00Z,robert|robert kannada Baby Dance Floor Ready|Baby Dance Floor Ready video song|robert darshan|robert d boss movie|darshan robert movie|arjun janya musical hits|darshan hits|robert kannada full movie|love dance Songs|kannada new film songs|new dance songs|kannada latest dance songs|kannada new dance song 2021|Nakash Aziz hits|Aishwarya Rangarajan songs|all dance songs|chethan kumar songs|kannada new dance songs|Roberrt full movie songs,4733115,167672,5760,22335,https://i.ytimg.com/vi/m5RyNpARLoI/default.jpg,False,False
