,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
0,zQY3DhoWaRw,Heart touching story🥺❤. #shorts #ytshorts #contentcreator #shadab707,2022-01-30T10:52:50Z,UCoxEmfaNM9eCqIER5KnjPxg,shadab5star,24,2022-02-01T00:00:00Z,[None],14440851,950537,0,3216,https://i.ytimg.com/vi/zQY3DhoWaRw/default.jpg,False,False
1,bni95UEr5OE,पेट्रोल पम्प वाले ने चुना लगाया🤣🤣🤣,2022-02-01T02:30:07Z,UC6taaXJOabMi1LED8EP5RKg,grandmasti arpit,23,2022-02-01T00:00:00Z,[None],1557793,136958,0,96,https://i.ytimg.com/vi/bni95UEr5OE/default.jpg,False,False
2,29hXXj52X-I,Guneet ko ab Kya Mila 😄 #shorts | Harpreet SDC,2022-01-29T05:30:00Z,UCm2FYakWw43UiBCRAIbfe4A,Harpreet SDC,24,2022-02-01T00:00:00Z,[None],19041201,773277,0,932,https://i.ytimg.com/vi/29hXXj52X-I/default.jpg,False,False
3,wDhLJ67Udy8,Maa baap apne baccho ki khushi ke liye sab kuch kar dete hai 💔😭 #shorts,2022-01-31T18:28:21Z,UClO7QTL3RLMGW9Px4Q8znog,sagar kalra (Shorts),22,2022-02-01T00:00:00Z,[None],1519873,190033,0,193,https://i.ytimg.com/vi/wDhLJ67Udy8/default.jpg,False,False
4,jiXgJ2T8o0s,Phone Ku Vaai irundhal Part 4 🤣 #shorts #velujazz #youtubeshorts,2022-01-31T13:30:58Z,UCbElOowkBNGm_-k60VjZUXA,Velujazz official,22,2022-02-01T00:00:00Z,Velujazz Shorts|Velujazz official|Velujazz|Chintu|Fault family|Kolaru Gopi|Chintu comedy|Trending video's|Shorts trending|Velu comedy|Vaai irundhal|Phone speech,2201352,206991,0,596,https://i.ytimg.com/vi/jiXgJ2T8o0s/default.jpg,False,False
5,oHjf6oT_vjk,"Mahaan - Official Tamil Teaser |  Vikram, Dhruv Vikram, Simha, Simran | Feb 10",2022-01-31T06:33:55Z,UC4zWG9LccdWGUlF77LZ8toA,Amazon Prime Video India,24,2022-02-01T00:00:00Z,mahaan|mahaan movie teaser|mahaan teaser|mahaan full movie|mahaan trailer vikram|mahaan vikram movie|mahaan vikram movie trailer|mahaan tamil teaser|mahaan movie trailer|mahaan vikram tamil movie|new tamil movie|latest tamil movie|vikram mahaan teaser|amazon prime video|prime video|mahaan vikram amazon prime|mahaan dhruv vikram|mahaan new movie|latest tamil movie 2022|mahaan release date|teaser|Vikram|Dhruv Vikram|Simha|Simran|Sananth|Muthukumar|new|2022,2548624,178287,0,5057,https://i.ytimg.com/vi/oHjf6oT_vjk/default.jpg,False,False
6,VVtjs9A8XkI,Chote tere bhai co ishten |  Deepesh zo Mr Roshan Gogo2728 | #youtu,2022-01-31T03:52:46Z,UCeRzX54qkSuvnBmA57YaobA,deepesh zo,20,2022-02-01T00:00:00Z,[None],2873876,244191,0,1150,https://i.ytimg.com/vi/VVtjs9A8XkI/default.jpg,False,False
7,OMXU28ZjdM4,Job🧑🏻‍💻Vs Business 💰~ Don’t give up for startups 🥰🤞 #priyalkukreja #shorts #ytshorts,2022-01-28T06:30:04Z,UCzEAWIWMigRBbulQ6yVlilg,Priyal Kukreja,22,2022-02-01T00:00:00Z,Viral|Comedy|Funny|Tiktok|Trending|Instagram reels|Job Vs Business|Don’t give up for startups|Optical store|Priyal kukreja|Dushyant kukreja|Priyal kukreja shorts|Shorts|Ytshorts|Dushyant priyal shorts|Brother sister comedy,19533352,1347009,0,2389,https://i.ytimg.com/vi/OMXU28ZjdM4/default.jpg,False,False
8,9w5QaiL_obg,Jese Ko Tesa 🙏🏻😎 #shorts #youtubeshorts #comedy,2022-01-27T04:00:02Z,UC_cdxikvfl_ntmtW6loibKA,Jomy Production,24,2022-02-01T00:00:00Z,[None],42130556,2647798,0,3437,https://i.ytimg.com/vi/9w5QaiL_obg/default.jpg,False,False
9,blGj0RXal0A,Subscribers Made us Wear THIS | QnA,2022-01-30T13:36:59Z,UCtgGOdTlM-NdJ9rPKIYN8UQ,Slayy Point,23,2022-02-01T00:00:00Z,slayypoint|qna|abhyudaya|gautami|funny video|hindi video|indias got talent,4314634,479284,0,19141,https://i.ytimg.com/vi/blGj0RXal0A/default.jpg,False,False
10,OULTPMHOVIM,Let’s make some bubbly! #ThatLittlePuff #puffknowsbetter #shorts #ITriedItIPrimedIt,2022-01-31T02:12:56Z,UClFN9LShD_Pv0wnSeUKbUZw,That Little Puff,22,2022-02-01T00:00:00Z,[None],11838237,702095,0,1674,https://i.ytimg.com/vi/OULTPMHOVIM/default.jpg,False,False
11,z-Jq-Cgg1jk,AGE OF WATER | Round2Hell | R2H,2022-01-27T14:29:25Z,UCt4atlExw8aj3Bm79nv1fig,Round2hell,24,2022-02-01T00:00:00Z,Round2hell new video|Age of water|r2h water|zayn saifi|nazim video|wasim|r2hell|age of water video|r2h age of water|raund2hell|water r2h|Jaisalmer|dunes|registan video r2h|r2h dunes|round2hell desert|desert video|Raund2hell|r2h|r2h dubai|sikandra|gulam,23147980,2661014,0,188217,https://i.ytimg.com/vi/z-Jq-Cgg1jk/default.jpg,False,False
12,tkVFNiclbSo,Priti Ki Life Me Ye Kaun Aya | How Well Do We Know Each Other | Hungry Birds Inside,2022-02-01T05:30:07Z,UCf9FhkQ8SlbX29J_U75g9cA,Hungry Birds Inside,22,2022-02-01T00:00:00Z,hungry birds|hungry birds umesh akshada|hungry birds inside|hungry birds new video|hungry birds inside new video|hungry birds latest video|hungry birds trip|umesh akshada love story|hungry birds love story|hungry birds reaction video|umesh and akshata|umesh akshada|hungry birds priti boyfriend,619313,37359,0,2536,https://i.ytimg.com/vi/tkVFNiclbSo/default.jpg,False,False
13,y-Bz6y-0g0w,Boys V/s Girls🤣 | വണ്ടി നിർത്തുന്നത് 💯💥,2022-01-31T10:29:11Z,UCbpa5erhQB6nwgmkk7MclDg,librazhar,24,2022-02-01T00:00:00Z,[None],433794,53552,0,766,https://i.ytimg.com/vi/y-Bz6y-0g0w/default.jpg,False,False
14,QQWOeuXKG3Y,Papa apne bacche ki khushi ke liye kuch bhi kar sakte hai😭💔 #shorts,2022-01-29T18:21:10Z,UClO7QTL3RLMGW9Px4Q8znog,sagar kalra (Shorts),22,2022-02-01T00:00:00Z,[None],4403678,391082,0,656,https://i.ytimg.com/vi/QQWOeuXKG3Y/default.jpg,False,False
15,67Fuq_oRPMw,balloon and syringe experiment 🤩 gone wrong 🤯 #shorts,2022-01-31T03:42:51Z,UC1J-EgBVeo-TUaC5m0t6bKg,Mr. Easy Tamil,24,2022-02-01T00:00:00Z,craft tamil channel|craft tamil|experiment in tamil|experiment tamil|easy experiment|science experiment|magic tricks|balloon experiment gone wrong|Mr easy tamil|laminar flow experiment|satisfying experiment,601991,38751,0,39,https://i.ytimg.com/vi/67Fuq_oRPMw/default.jpg,False,False
16,1Ob3UFs4cIU,bhaiya kaha ja raha hai | Deepesh zo Mr roshan gogo2728 | #youtube #short,2022-01-15T03:31:45Z,UCeRzX54qkSuvnBmA57YaobA,deepesh zo,20,2022-02-01T00:00:00Z,[None],11599832,1538540,0,11678,https://i.ytimg.com/vi/1Ob3UFs4cIU/default.jpg,False,False
17,gIkvKJMZApU,Salute to indian army ❤️🇮🇳 #shorts,2022-01-27T13:17:27Z,UClO7QTL3RLMGW9Px4Q8znog,sagar kalra (Shorts),22,2022-02-01T00:00:00Z,[None],19313724,1968385,0,1895,https://i.ytimg.com/vi/gIkvKJMZApU/default.jpg,False,False
18,ATElufr0OiE,Mudhal Nee Mudivum Nee - Title Track Video | Darbuka Siva | Sid Sriram | Thamarai,2022-01-31T16:27:42Z,UCTNtRdBAiZtHP9w7JinzfUg,SonyMusicSouthVEVO,10,2022-02-01T00:00:00Z,Sony Music South|Sony Music|Latest Song|Tamil song|Tamil Latest Song|Tamil Latest Songs 2018|Tamil Latest Songs 2019|Latest songs in Tamil|Songs in Tamil|Latest Tamil Movies|Tamil Movie Songs|Latest Video Songs Tamil|latest Tamil Love Songs|Latest Tamil Hit Songs|darbuka siva songs|sid sriram songs|sid sriram tamil hits|darbuka siva tamil songs|mudhalum nee mudivum nee trailer|Darbuka Siva|Mudhal Nee Mudivum Nee|Sony|Pvt.,424854,42641,0,1066,https://i.ytimg.com/vi/ATElufr0OiE/default.jpg,False,False
19,-QyLDsRaazE,ചേച്ചിയമ്മ 💞💞💞,2022-02-01T05:19:49Z,UC1hWVEOkra5LkP37qI6PVVg,Sanju and Lakshmy,24,2022-02-01T00:00:00Z,[None],289302,19319,0,697,https://i.ytimg.com/vi/-QyLDsRaazE/default.jpg,False,False
20,wAeC4HOCENA,upper wala sab ki maa ko salamat rakhe😭🙏🏻 #short #youtubeshorts #viral #emotional #maa #shorts,2022-01-27T13:52:08Z,UCHUu2HAnogpaK2UmTSJT8jg,mujjuu___14,22,2022-02-01T00:00:00Z,[None],25283824,1838613,0,2067,https://i.ytimg.com/vi/wAeC4HOCENA/default.jpg,False,False
21,NGGhyc7DW3Y,Exclusive: Tejasswi Prakash & Karan Kundra Spotted in Andheri 😎🔥📷,2022-01-31T15:37:16Z,UC1bdAV8ZlDI8YJWLRPh3fAg,Viral Bhayani,24,2022-02-01T00:00:00Z,#tejasswiprakash|#karankundra|#bollywoodpap|#bollywood|#viralbhayani,1114330,56140,0,2055,https://i.ytimg.com/vi/NGGhyc7DW3Y/default.jpg,False,False
22,JOzkZntKMjQ,Aye Musht-e-Khaak - Episode 15 - [Eng Sub] Digitally Presented by Happilac Paints - 31st January 22,2022-01-31T16:00:21Z,UCe9JSDmyqNgA_l2BzGHq1Ug,HAR PAL GEO,24,2022-02-01T00:00:00Z,Har pal geo|geo dramas|latest pakistani drama|top pakistani dramas|best pakistani dramas|latest pakistani dramas|drama 2022|Feroze Khan|Sana Javed|Feroze Khan Drama|Sana Javed Drama|Asad Siddiqui|Shabbir Jan|Shahood Alvi|Iffat Omar|Sadaf Ashan|Ayesha Gul|31st January 2022|Aye Musht-e-Khaak Ep 15|Aye Musht-e-Khaak Episode 15|Aye Musht-e-Khaak OST|Aye Musht-e-Khaak,2474781,56281,0,1613,https://i.ytimg.com/vi/JOzkZntKMjQ/default.jpg,False,False
23,FpY6B-slnV8,"Gehraiyaan Title Track - Official Video | Deepika Padukone, Siddhant, Ananya, Dhairya | OAFF, Savera",2022-02-01T06:00:14Z,UC56gTxNs4f9xZ7Pa2i5xNzg,Sony Music India,10,2022-02-01T00:00:00Z,Doobey|Gehraiyaan|Deepika Padukone|Ananya pandey|Siddhant Chaturvedi|Gehraiyaan Trailer|Gehraiyaan Songs|Doobey Song|Sony Music|Sony Music India|Latest Hits|Deepika Padukone movie|Gehraiyaan Full Movie|New Songs 2022|New Bollywood Movie|New hindi songs|Trending songs|Latest Bollywood Songs|Songs 2021|OAFF|Savera|Lothika|Dhairya Karwa|Best Bollywood Songs|Valentine day Songs|love songs|New Bollywood Movie Songs|Gehraiyaan Title song,2225842,145242,0,21023,https://i.ytimg.com/vi/FpY6B-slnV8/default.jpg,False,False
24,LtZ88JLrqv0,ഗ്ലാസ്‌ തല്ലിപ്പൊട്ടിച്ച വിഷയം ഇതാണു സത്യം | This is what happend,2022-02-01T04:30:08Z,UCUSFb3Dwt8AdfDIxdHTlNuA,Mallu Traveler,19,2022-02-01T00:00:00Z,mallu traveler|kerala travel vloger|malayalam traveler|ford raptor|ford raptor india|ford raptor kerala|monster truck kerala|mallu traveler ford raptorno 1 travel vloger in india|indias most followed travel vloger|VAN LIFE INDIA|van life from india|india to europ car drive|india to europ van life|india to london car drive|world trip on car|over landing from india|over landing in india|over landeing in dubai|how to export car from india|how to,471477,49111,0,3826,https://i.ytimg.com/vi/LtZ88JLrqv0/default.jpg,False,False
25,GnAhTYuSp5c,30 Weds 21 Season 2 Teaser | Girl Formula | Chai Bisket,2022-01-31T13:32:14Z,UCfrNV2iJ9LnHcOsdyhYyYew,Girl Formula,24,2022-02-01T00:00:00Z,Girl Formula|Chai Bisket|Krazy Khanna|Telugu girl|telugu content|Telugu|fun|videos|girl|Videos|Girl Porblems|How girls behave|Girl formula latest episodes|krazy khanna latest episodes|chai bisket latest episodes|boy formula latest episodes|kiraak style latest episodes|30 weds 21 Season 2|30 weds 21 Season 2 Teaser|30 weds 21 Season 2 Trialer|30 weds 21 Ananya|30 weds 21 Meghana|30 weds 21 Chaitanya|Karthik|Jessie|Jose Jimmy,1777338,99759,0,1972,https://i.ytimg.com/vi/GnAhTYuSp5c/default.jpg,False,False
26,yzoP_-PkGJM,BHAI - BEHAN AUR सर्दी || THE SHIVAM,2022-01-31T05:31:05Z,UCYjJCUo7Z4l0-fF875s-eEQ,The Shivam,24,2022-02-01T00:00:00Z,bhaibehanaurसर्दी|bhaibehanaursardi|theshivam|theshivamnewvideo|newvideotheshivam|comedyvideoshivam|comedy|funnyvideo|winter|wintervideo|middleclassfamily|middleclassfamilyaursardi|viralvideo|trendingvideo|bhaibehankapyar|bhaibehan|sardi|youtube|youtubeindia|sociopool|shivam|thund|comedyvideo|2022newvideo|theshivamvideo|shivamvideo|shivamyadav|theshivamfunnyvideo|theshivamyoutube|trending|viral|trending1|newvideoshivam|newcontent|shivamyoutubevideo|theshivamcomedyvideo|shivamkivideo,484473,8138,0,306,https://i.ytimg.com/vi/yzoP_-PkGJM/default.jpg,False,False
27,ENm8G81xiYE,Paapu ku 7th Month வளைகாப்பு | Sanjiev&Alya | Exclusive Video,2022-01-29T10:29:28Z,UCCAlmXL95GaAcI_VtOg8KBw,SANJIEV&ALYA,24,2022-02-01T00:00:00Z,aila papa first birthday|alya manasa dance|alya manasa interview|alya manasa and sanjeev love|Alya manasa birthday celebration|alya manasa and sanjeev romance|Aila|Ailabirthday|Karthick|alia birthday|alia birthday party|Alyabirthdayvlog|Mottamaadibiriyani|Alyaphonelost|sanjeevmarriage|alyamarriage|Alyacollabbloopers|alyapadumkashtangal|SanjievAlyawardrobetour|sanjievfridgetour|alyafridgetour|rajarani2|ailafridgetour|Alyapregnant|Ailafirsthaircut|hometour|Pongal|Vlog|fanmade|art,1987934,68734,0,2435,https://i.ytimg.com/vi/ENm8G81xiYE/default.jpg,False,False
28,YMBjZg7OhPY,Rich vs Poor || Neeraj Bandari || Uma Mahesh || Dora Sai Teja || Infinitum  Media,2022-02-01T04:30:16Z,UC9cpaBjhse6B76HP_gn4Rew,Dora Sai Teja,24,2022-02-01T00:00:00Z,rich vs poor|rich vs poor short film|rich and poor short film in telugu|neeraj bandari|uma mahesh|telugu short films 2022|telugu comedy short films|telugu new short films 2022|dorasai teja|telugu short films 2022 latest|short films telugu 2022 latest|poor vs rich short film|tej india creative works|tej india|dora sai teja channel|telugu short films|uma mahesh short films|neeraj short films|tej india new|short films in telugu latest|infinitum media,87692,12628,0,150,https://i.ytimg.com/vi/YMBjZg7OhPY/default.jpg,False,False
29,wynd0jJIN-k,നാത്തൂൻ  | Naathoon | Simply Silly Things,2022-01-31T13:30:24Z,UCpKdBSaEA8RrFK4EpmsI30w,Simply Silly Things,24,2022-02-01T00:00:00Z,simply silly things|silly things|simple silly things|chattambees|malayalam vine|malayalam sketch|liya mathew|minshas world|pullothi|akhil nrd|naathoon|nathoon|naathoon comedy|sister in law|sister in law comedy|sister fights|in law fights|sister fights comedy,203898,15953,0,844,https://i.ytimg.com/vi/wynd0jJIN-k/default.jpg,False,False
30,ShAkCCENb6M,Talent ❤️|| real story || Gulshan kalra #shorts,2022-01-31T08:47:59Z,UC56dNUTok1pgvpY75CsJQ4Q,Gulshan Kalra,26,2022-02-01T00:00:00Z,[None],6588464,575566,0,331,https://i.ytimg.com/vi/ShAkCCENb6M/default.jpg,False,False
31,AkErqBZ4IAg,She Plays Free Fire | Break the Stereotype 02,2022-01-29T06:30:01Z,UC4AB0_ectRryjCF_ugD0U8w,Free Fire India Official,20,2022-02-01T00:00:00Z,[None],1533795,69047,0,1837,https://i.ytimg.com/vi/AkErqBZ4IAg/default.jpg,False,False
