,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
0,1ukP5QYbFgY,【心霊】霊が出るからと注意されるホテルの３０８号室に泊まれるか行ってみた。,2021-03-31T12:00:16Z,UCibEhpu5HP45-w7Bq1ZIulw,Fischer's-フィッシャーズ-,24,2021-04-01T00:00:00Z,Fischer's|フィッシャーズ|野生児|MASAI.|無謀|自然|チャレンジ|シルクロード|マッチョ|マサイ|ザカオ|ンダホ|ダーマ|モトキ|おもしろ|挑戦|SilkRoad|Dama|Ndaho|Zakao|Motoki|Masai|シルクの部屋|毎日|動画|投稿|面白|面白動画|やってみた|ウケる|爆笑|大爆笑|コント|一発芸|ギャグ|ネタ|楽しい|お笑い|笑える|オススメ|商品紹介|YouTube|youtuber|Japan|japanese|Blog|Vlog|腹筋崩壊|抱腹絶倒|都市伝説|身体張る|スポーツ|講座|ビログ|ビデオブロガー|大学生|軍団|イケメン|ウオタミ|UUUM|ウーム|心霊|スポット|怖い|恐怖|ホテル|大阪|308号室|心霊写真|ラップ音|心霊体験|心霊現象|心霊動画|幽霊|おばけ|映像|泉の広場|ネット|有名|赤い女|泊まる|日光|神棚,1641064,36295,1577,4351,https://i.ytimg.com/vi/1ukP5QYbFgY/default.jpg,False,False
1,DVOgvzl395w,松田聖子 - 青い珊瑚礁 〜Blue Lagoon〜,2021-03-31T19:00:03Z,UC3qI2t2Oq8Xeoc46A08PKig,松田聖子オフィシャルYouTubeチャンネル,10,2021-04-01T00:00:00Z,[None],302249,0,0,0,https://i.ytimg.com/vi/DVOgvzl395w/default.jpg,True,True
2,emrOpnSCYao,TVアニメ『SHAMAN KING』ノンクレジットオープニング｜2021年4月1日放送開始,2021-03-31T15:00:17Z,UCR61XV4ROXhkcfLO31hTGuw,「KING AMUSEMENT CREATIVE」公式チャンネル,1,2021-04-01T00:00:00Z,キングレコード|シャーマンキング|SHAMAN KING|武井宏之|日笠陽子|林原めぐみ|高山みなみ|朴璐美|over soul|オーバーソウル|northern lights|水樹奈々|soul salvation|ボクノユビサキ|中村悠一|堀江由衣,425892,0,0,1843,https://i.ytimg.com/vi/emrOpnSCYao/default.jpg,False,True
3,6CQkt7D5hTA,【最大規模!?】大物YouTuberがくれたものだけで無人島生活できんの？【前編】,2021-03-31T11:00:17Z,UCpOjLndjOqMoffA-fr8cbKA,水溜りボンド,24,2021-04-01T00:00:00Z,水溜りボンド|都市伝説|検証|実験|科学|お笑い|面白|面白い|企画|楽しい|ワクワク|カンタ|トミー,816340,20353,403,1545,https://i.ytimg.com/vi/6CQkt7D5hTA/default.jpg,False,False
4,ym-y7CR1gOg,あんさんぶるスターズ！！ Music ゲームサイズMV「エンドレスヴィーデ」,2021-03-31T15:00:35Z,UCnGsO8vRLlw4L87fUQlTwMg,Happy Elements株式会社,20,2021-04-01T00:00:00Z,あんさんぶるスターズ！！,270057,23438,98,2655,https://i.ytimg.com/vi/ym-y7CR1gOg/default.jpg,False,False
5,fcDwI4OYlRw,【新番組】ぺこにゅーす｜PekoNews!!!【ホロライブ/兎田ぺこら】,2021-03-31T15:00:17Z,UC1DCedRgGHBdm81E1llLhOQ,Pekora Ch. 兎田ぺこら,20,2021-04-01T00:00:00Z,兎田ぺこら|ホロライブ|歌ってみた|大神ミオ|Vtuber|ホロライブゲーマーズ|ゲーム実況|実況|VTuber|バーチャルYouTuber|VR|白 上フブキ|湊あくあ|赤井はあと|ときのそら|ロボ子さん|夜空 メル|大空スバル|夏色まつり|さくらみこ|百鬼あやめ|ア キ・ローゼンタール|戌神ころね|猫又おかゆ|紫咲シオン|潤羽るしあ|不知火フレア|白銀ノエル|宝鐘マリン|hololive|白上フブキ|夜空メル|アキ・ローゼンタール|ホロアニメ|3D|ホログラ|AZKi|星街すいせい|天音かなた|桐生ココ|姫森ルーナ|角巻わため|常闇トワ,435198,44774,665,2716,https://i.ytimg.com/vi/fcDwI4OYlRw/default.jpg,False,False
6,ZJhi_35HF8c,第三の目、松果体の秘密とは？！（深堀り）（下あり）,2021-03-31T11:09:01Z,UCT9cFrlnfy1-XLf0Vuy0Zzw,Naokiman 2nd Channel,20,2021-04-01T00:00:00Z,[None],329325,9940,275,800,https://i.ytimg.com/vi/ZJhi_35HF8c/default.jpg,False,False
7,31a1E-D0vxU,【衝撃展開】朝倉海選手とコラボしたら衝撃の結末に!?/Yuji NIshida,2021-03-31T11:00:01Z,UCxRJdQ5hNtT5ZHzYB_RzGEA,西田有志チャンネルYuji Nishida YouTube,22,2021-04-01T00:00:00Z,[None],85393,4171,33,276,https://i.ytimg.com/vi/31a1E-D0vxU/default.jpg,False,False
8,IfOx1i17NPE,中田敦彦ラスト顔出し、オリエンタルラジオの野望！,2021-03-31T11:00:07Z,UC25Ah0_XF2lOUwWV9VSfl2g,藤森慎吾のYouTubeチャンネル,24,2021-04-01T00:00:00Z,お笑い|オリエンタルラジオ|藤森慎吾|オリラジ,337493,9518,238,896,https://i.ytimg.com/vi/IfOx1i17NPE/default.jpg,False,False
9,d7sRBjivaqs,【バイトやらかし】みんなのやらかしが止まらないので2回目やっちゃいますSP,2021-03-30T10:00:28Z,UC0wwyS5MbDCdbLjbtOt0yew,丸山礼チャンネル,24,2021-04-01T00:00:00Z,丸山礼|芸人|まるやまれい|ものまね|モノマネ,1103614,65388,525,8324,https://i.ytimg.com/vi/d7sRBjivaqs/default.jpg,False,False
