,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
0,eWyWRi8p68Y,Yogibo presents RIZIN.26　朝倉海　試合後インタビュー,2020-12-31T19:04:49Z,UCZZ0UGjWsRdM8_5bsqtxYaQ,RIZIN FIGHTING FEDERATION,17,2021-01-01T00:00:00Z,RIZIN|RIZINFF|朝倉海,1160703,0,0,3860,https://i.ytimg.com/vi/eWyWRi8p68Y/default.jpg,False,True
1,FzpEy0QYbwg,【NHK紅白】GReeeeN『星影のエール 紅白SP』,2020-12-31T15:54:43Z,UCip8ve30-AoX2y2OtAAmqFA,NHK,24,2021-01-01T00:00:00Z,NHK|第71回紅白歌合戦|ウラトーク|内村光良|桑子真帆|二階堂ふみ|大泉洋|山里亮太|渡辺直美|大晦日|年末|あいみょん|石川さゆり|坂本冬美|櫻坂46|JUJU|Superfly|天童よしみ|東京事変|NiziU|乃木坂46|Pefume|日向坂46|Foorin|BABYMETAL|松田聖子|MISIA|水森かおり|milet|LiSA|LITTLE GLEE MONSTER|嵐|五木ひろし|瑛人|Official髭男dism|関ジャニ∞|Kis-My-Ft2|King & Prince|郷ひろみ|GENERATIONS|純烈|鈴木雅之|SixTONES|Snow Man|氷川きよし|福山雅治|Hey!Say!JUMP|星野源|Mr.Children|三山ひろし|山内惠介|ゆず|GReeeeN|さだまさし|松任谷由実|YOASOBI|YOSHIKI,1167628,9622,714,0,https://i.ytimg.com/vi/FzpEy0QYbwg/default.jpg,True,False
2,sdsUYDym3nM,【NHK紅白】YOASOBI『夜に駆ける』,2020-12-31T14:15:54Z,UCip8ve30-AoX2y2OtAAmqFA,NHK,24,2021-01-01T00:00:00Z,NHK|第71回紅白歌合戦|ウラトーク|内村光良|桑子真帆|二階堂ふみ|大泉洋|山里亮太|渡辺直美|大晦日|年末|あいみょん|石川さゆり|坂本冬美|櫻坂46|JUJU|Superfly|天童よしみ|東京事変|NiziU|乃木坂46|Pefume|日向坂46|Foorin|BABYMETAL|松田聖子|MISIA|水森かおり|milet|LiSA|LITTLE GLEE MONSTER|嵐|五木ひろし|瑛人|Official髭男dism|関ジャニ∞|Kis-My-Ft2|King & Prince|郷ひろみ|GENERATIONS|純烈|鈴木雅之|SixTONES|Snow Man|氷川きよし|福山雅治|Hey!Say!JUMP|星野源|Mr.Children|三山ひろし|山内惠介|ゆず|GReeeeN|さだまさし|松任谷由実|YOASOBI|YOSHIKI,1754126,40605,838,0,https://i.ytimg.com/vi/sdsUYDym3nM/default.jpg,True,False
3,cVVtPjTtpP4,【NHK紅白】LiSA『アニメ「鬼滅の刃」紅白SPメドレー』,2020-12-31T13:37:25Z,UCip8ve30-AoX2y2OtAAmqFA,NHK,24,2021-01-01T00:00:00Z,NHK|第71回紅白歌合戦|ウラトーク|内村光良|桑子真帆|二階堂ふみ|大泉洋|山里亮太|渡辺直美|大晦日|年末|あいみょん|石川さゆり|坂本冬美|櫻坂46|JUJU|Superfly|天童よしみ|東京事変|NiziU|乃木坂46|Pefume|日向坂46|Foorin|BABYMETAL|松田聖子|MISIA|水森かおり|milet|LiSA|LITTLE GLEE MONSTER|嵐|五木ひろし|瑛人|Official髭男dism|関ジャニ∞|Kis-My-Ft2|King & Prince|郷ひろみ|GENERATIONS|純烈|鈴木雅之|SixTONES|Snow Man|氷川きよし|福山雅治|Hey!Say!JUMP|星野源|Mr.Children|三山ひろし|山内惠介|ゆず|GReeeeN|さだまさし|松任谷由実|YOASOBI|YOSHIKI,806406,7063,926,0,https://i.ytimg.com/vi/cVVtPjTtpP4/default.jpg,True,False
4,EcdRXekMG6s,朝倉海選手とのタイトルマッチを振り返る【RIZIN.26】,2020-12-31T21:01:39Z,UC-GUnpgY8Er056ZUI_CdDOA,堀口恭司/Kyoji Horiguchi,22,2021-01-01T00:00:00Z,堀口恭司|格闘家|KyojiHoriguchi|RIZIN26|朝倉海|タイトルマッチ,409861,24885,614,2657,https://i.ytimg.com/vi/EcdRXekMG6s/default.jpg,False,False
5,XeeHYRs5zW4,【最近あった事】とにかく、まあたそがずーーーーーっと喋り続ける動画【ノンストップ】,2020-12-31T09:00:11Z,UC2656chrY5MdTQO2_II7yRg,まあたその「ほぼメインチャンネル」,22,2021-01-01T00:00:00Z,[None],556103,19849,325,1482,https://i.ytimg.com/vi/XeeHYRs5zW4/default.jpg,False,False
6,d1XBMiza2Jo,[公式]櫻井局長から皆さんに新年のご挨拶,2020-12-31T15:00:32Z,UCuEf7ivgmJfQGxv-hrqxs-A,1億3000万人のSHOWチャンネル,22,2021-01-01T00:00:00Z,日テレ|日本テレビ|バラエティ|1億3000万人のSHOWチャンネル|SHOWチャンネル|嵐|櫻井翔|ショウチャンネル|ショーチャンネル|SHOW|翔|翔チャンネル|ショウチャン|企画打ち合わせ|新年のご挨拶|新年|2021年|元日|今年の抱負|あけおめ,305750,18695,114,0,https://i.ytimg.com/vi/d1XBMiza2Jo/default.jpg,True,False
7,Gqup3AVrzuQ,ほのかが別れたのでイジってみたwwwww,2020-12-31T09:00:09Z,UCJ4KA3XGizt-aNPjp4R_xyA,ジュキぱっぱ,24,2021-01-01T00:00:00Z,マリオカート|ジュキヤ|ジュキぱっぱ,674532,15719,677,692,https://i.ytimg.com/vi/Gqup3AVrzuQ/default.jpg,False,False
8,NFb3wpQtGPw,堀口恭司、朝倉海にリベンジ！勝敗を分けたのはここだ！RIZIN26　膝の故障からの復帰戦！勝負を決めたカーフキック,2020-12-31T13:44:14Z,UCVkzeTriHmHSchge_lKA7DA,大沢ケンジ / Kenji Osawa,17,2021-01-01T00:00:00Z,[None],116888,1489,109,580,https://i.ytimg.com/vi/NFb3wpQtGPw/default.jpg,False,False
9,L_B8RIKJ4gg,Hello 2021 〜年明け早々のオールスタークイズ大会！〜,2020-12-31T14:45:11Z,UCrXUsMBcfTVqwAS7DKg9C0Q,YouTube Japan 公式チャンネル,24,2021-01-01T00:00:00Z,Hello 2021|Hello 2021 Jp|Hello 2021 Japan|YouTube Originals New years eve|New years show,340529,4170,295,354,https://i.ytimg.com/vi/L_B8RIKJ4gg/default.jpg,False,False
