,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
0,NfmZC0SfB-s,5천 원 들고 치킨집 앞을 서성이던 형제.. 사장은 단번에 알아챘다,2021-02-28T11:37:48Z,UCYRrUD5v5j_Ei8sKOo7mhoQ,엠빅뉴스,25,2021-03-01T00:00:00Z,감동|치킨|형제|철인7호|홍대|편지|프랜차이즈|돈쭐|좌표|감사,2051641,35923,245,11945,https://i.ytimg.com/vi/NfmZC0SfB-s/default.jpg,False,False
1,2LnCaecCDd0,[아이유의 팔레트] '빛나는 팔레트' (With 샤이니) Ep.5,2021-02-27T09:00:01Z,UC3SyT4_WLHzN7JmHQwKQZww,이지금 [IU Official],24,2021-03-01T00:00:00Z,IU|아이유|이담|EDAM|이지금|dlwlrma|아이유tv|아티비|아이유티비|아이유의팔레트|팔레트|분홍신|너랑나|집콕시그널|집콕|하루끝|에잇|삐삐|Palette|가을아침|금요일에만나요|비밀의화원|블루밍|내손을잡아|스물셋|너의의미|무릎|밤편지|소격동|시간의바깥|좋은날|러브포엠|Love Poem|Through The Nigh|Meaning of you|BBIBBI|Blueming|Jam jam|Red Queen|Friday|Autumn morning|unlucky|이지은|넷플릭스|나의아저씨|호텔델루나|장만월|샤이니|돈콜미|SHINee|온유|태민|키|종현|민호,2187064,158114,449,14866,https://i.ytimg.com/vi/2LnCaecCDd0/default.jpg,False,False
2,eBAyVOb4KAA,'베일이 돌아왔다! 2골 1도움 기록' 토트넘 vs 번리 하이라이트 #SPORTSTIME,2021-02-28T16:39:06Z,UCnXNukjRxXGD8aeZGRV-lYg,스포츠타임,17,2021-03-01T00:00:00Z,오늘의타임|스포츠타임|코리안타임|코리안리거|손흥민|2도움|손베듀오|해외축구|프리미어리그|토트넘|번리|하이라이트,1499387,5870,198,3292,https://i.ytimg.com/vi/eBAyVOb4KAA/default.jpg,False,False
3,WnMLsNtLn1U,빙어다!!!!(ice-fishing),2021-02-27T08:47:03Z,UCriPmQ2RpvdNSZkMwuOmTnQ,U.M.A.우마,24,2021-03-01T00:00:00Z,[None],1018855,21841,407,12016,https://i.ytimg.com/vi/WnMLsNtLn1U/default.jpg,False,False
4,Yp9IWMcLtGU,운동해서 힘으로 이길수없는형 은근슬쩍 티안나나게 괴롭히기 ㅋㅋ역시 사람은 머리를 써야지ㅋㅋ,2021-02-28T10:55:09Z,UCyCL5k8P1iUOc1EymhhMW1A,더블비,23,2021-03-01T00:00:00Z,조제알통|레슬링|레슬링마사지|몸짱|울산크로커다일|울산킹콩|가방으로때리기,398637,3292,222,1567,https://i.ytimg.com/vi/Yp9IWMcLtGU/default.jpg,False,False
5,SjfBcgCeWUw,해도 되는 거짓말,2021-02-28T08:10:34Z,UChgOgRNxrtCcVARDQT_c-Zg,짧은대본 ShortPaper,24,2021-03-01T00:00:00Z,드라마|web drama|남사친|여사친|로멘스|연애|사랑|love|거짓말|무야호|김아영|배재성|어뿅|호석|오세현|개강총회,473432,4540,78,1680,https://i.ytimg.com/vi/SjfBcgCeWUw/default.jpg,False,False
6,nXdwi_PS2p8,[밥묵자] 내 아직 숟가락 안 들었데이 (feat. 문세윤),2021-02-28T12:00:15Z,UCSc2DcSzzjHgBn8Hg0KG7PA,꼰대희,23,2021-03-01T00:00:00Z,꼰대희|김대희|밥묵자|장동민|신봉선|유세윤|개콘|개콘레전드,820673,18654,185,3923,https://i.ytimg.com/vi/nXdwi_PS2p8/default.jpg,False,False
7,EcMjvjOxHb0,텍사스에서 얼어 죽어가는 새를 발견한 진돗개의 대견한 행동,2021-02-26T07:00:01Z,UCicKQUi8h4NI81wDmrDBD4A,올리버쌤,27,2021-03-01T00:00:00Z,[None],1605427,40022,510,4005,https://i.ytimg.com/vi/EcMjvjOxHb0/default.jpg,False,False
8,cNomzAh3-tY,BTS (방탄소년단) 'BE-hind Story' Interview (+ENG/JPN/CHN),2021-02-27T12:22:54Z,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,10,2021-03-01T00:00:00Z,방탄소년단|BTS|BANGTAN|HIPHOP|알엠|RM|슈가|SUGA|제이홉|jhope|지민|JIMIN|뷔|정국|JUNGKOOK|진|JIN,6051800,1037503,1514,27306,https://i.ytimg.com/vi/cNomzAh3-tY/default.jpg,False,False
9,_NzL5UGgN2Y,[신병외전] 주임원사,2021-02-25T09:11:58Z,UChbE5OZQ6dRHECsX0tEPEZQ,장삐쭈,23,2021-03-01T00:00:00Z,장삐쭈|삐쭈|ㅋㅋㅋ|삐쮸|장삐쮸|병맛더빙|더빙|웃긴동영상|꿀잼|신병|장삐쭈 단편선|단편선|창작애니|볼만한 애니|재밌는애니|웃긴애니|볼만한애니|애니추천|만화추천|장비주|신병 유격|신병신작|장삐쭈 군대|군대만화|박민석|김상훈|최일구|임다혜|차병호|주임원사|행정계원|브라더|복합기|출력|브라자|귀도리,2480213,28689,828,9101,https://i.ytimg.com/vi/_NzL5UGgN2Y/default.jpg,False,False
