,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
0,qsF60s_tB3w,Cartel de Santa - Vaya Vaya,2020-12-01T03:00:10Z,UCunw-c0EKIX5LpPo8GpA2Aw,elcarteldesantatv,10,2020-12-01T00:00:00Z,cartel de santa|babilonia music|los jefes|ppcdsalvc|babo|mono|new video|nuevo video|mexico|hip hop,1203399,255392,4235,15625,https://i.ytimg.com/vi/qsF60s_tB3w/default.jpg,False,False
1,kEYqLpByx5w,Raúl Jiménez se recupera de cirugía por fractura de cráneo | Noticias Telemundo,2020-11-30T18:48:47Z,UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,25,2020-12-01T00:00:00Z,Telemundo|raul jimenez|wolverhampton|premier league|Edición Noticias 6:30 pm|noticias telemundo|telemundo noticias|telemundo noticias hoy|noticias de hoy|Jose Diaz Balart|Noticias de Telemundo|telemundo novelas|telemundo programas|un nuevo dia|caso cerrado|telemundo episodios|Telemundo super series|deportes en español|futbol en español|liga mx 2020 en vivo|futbol mexicano 2020|futbol mexicano en vivo 2020|raúl jiménez gol|raúl jiménez wolverhampton,421641,2371,155,284,https://i.ytimg.com/vi/kEYqLpByx5w/default.jpg,False,False
2,zW6xesC0wcI,¡CEPILLIN LE CANTÓ LAS MAÑANITAS A ROMEO! | FAMILIA BAKERSUAVE,2020-11-30T21:06:56Z,UCdioEF3nPWW22zqVc3rxl-w,Berth&Cris,22,2020-12-01T00:00:00Z,BERTHOH|CANAL|DE|PAREJA|BERTH|CRIS|DACOSTAS|BAKERY|PAREJARICOSUAVE|NOVIADEBERTH,597151,61492,558,1647,https://i.ytimg.com/vi/zW6xesC0wcI/default.jpg,False,False
3,vyCutYRFkXQ,La ESCALOFRIANTE LESIÓN que sufrió Raúl Jiménez PODRÍA CAUSAR SU RETIRO,2020-12-01T00:44:42Z,UCHle8xt_YqgwVqnimyoapyA,La Gambeta,17,2020-12-01T00:00:00Z,Raúl Jimenez|Wolves|Premier League|Arsenal|David Luiz|Lesión|Nuno Espirito Santo|Fractura|Cahill|Chelse|Hull City|Ryan Mason|Chivu|Inter de Milan|Petr Cech|Portero|Fútbol|Soccer|Skills|Goleador|Mexicano|Operación|Football|Gunners|Wolverhampton|Gambeta,242666,8534,391,738,https://i.ytimg.com/vi/vyCutYRFkXQ/default.jpg,False,False
4,VgVzTgjKZ7k,BLACKPINK - THE INVITATION,2020-12-01T03:00:04Z,UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,10,2020-12-01T00:00:00Z,YG Entertainment|YG|와이지|K-pop|BLACKPINK|블랙핑크|블핑|제니|로제|리사|지수|Lisa|Jisoo|Jennie|Rosé|BLINK|블링크|Lovesick Girls|BLACKPINK Lovesick Girls|블랙핑크 Lovesick Girls|THE ALBUM|BLACKPINK THE ALBUM|블랙핑크 THE ALBUM|BLACKPINK LSG|LSG|블랙핑크 LSG,2170066,547940,3441,40524,https://i.ytimg.com/vi/VgVzTgjKZ7k/default.jpg,False,False
5,ZKSEo0PJ9j0,Raúl Jiménez sufre brutal golpe y queda inconsciente | Telemundo Deportes,2020-11-29T22:46:57Z,UCjZ7QPKb89R-4SxzBoceyOg,Telemundo Deportes,17,2020-12-01T00:00:00Z,NBC Deportes|NBC Sports|Deportes Telemundo|NBC Universo|Telemundo (TV Network)|telemundo deportes|TLMD deportes|noticias del deportes|deportes de hoy|Noticias de deportes|deporte en telemundo|telemundo|telemundo novelas|un nuevo dia|telemundo episodios|Telemundo super series|wolverhampton wanderers|resumen de deportes de hoy|raúl jiménez|liga premier|noticias de deporte|raul jimenez wolves|Wolverhampton|Arsenal|Fútbol|Inglaterra|video|Golpe,2449042,18987,1514,1914,https://i.ytimg.com/vi/ZKSEo0PJ9j0/default.jpg,False,False
6,ju-GmBALfG0,REACCIONANDO A LOS TIK TOKS DE MI NOVIA (MACHIKA),2020-11-30T01:38:14Z,UCrY307dziCjW1E6u1ZuLetg,Antronixx G,24,2020-12-01T00:00:00Z,MACHIKA|BARBIE|ANTRONIX,3550181,502707,10283,15393,https://i.ytimg.com/vi/ju-GmBALfG0/default.jpg,False,False
7,UP4MTgAukis,Trueno - BACKGROUND (Video Oficial),2020-11-30T22:00:10Z,UCR8xLrhLmZoMirYnjj4zEWg,Trueno Oficial,10,2020-12-01T00:00:00Z,Trueno|Mateo Palacios|Mateo Palacios Corazzina|Atrevido|Trueno Atrevido|Atrevido Trueno|Trueno BZRP|Trueno Session|Trueno Freestyle|Trueno FMS|FMS TRUENO|Trueno Dani|Trueno Wos|Trueno Cacha|Lo mejor de Trueno|rain|trueno replik|c90|trueno c90|Trueno Disco|Atrevido Disco|Trueno Background|Background|Background Trueno|Background Atrevido|Background video oficial|mamichula|mami chula|bzrp|nicki nicole|Trueno - BACKGROUND (Video Oficial),1138665,262087,3519,15047,https://i.ytimg.com/vi/UP4MTgAukis/default.jpg,False,False
8,TEptP1MfUG4,VLOG #3 | DETRÁS DE CÁMARAS | LA ROSA DE GUADALUPE,2020-12-01T00:45:09Z,UC-E_XsDDEMvsEICPSX5_HPA,Shaula Ponce Oficial,22,2020-12-01T00:00:00Z,shaua|shau|shaulaponce|rosadeeguadalupe|televisa|detrasdecamaras|actriz|mike|raliuga|vecibanda|rosa,298269,35827,428,1144,https://i.ytimg.com/vi/TEptP1MfUG4/default.jpg,False,False
9,tnNiSgovl4U,Alemán - Mi Tio Snoop Ft Snoop Dogg (Video Oficial),2020-11-29T06:00:09Z,UColfxbsMdfxj8TxBK5Dpdiw,Alemán,10,2020-12-01T00:00:00Z,alemán|aleman homegrown|homegrown mafia|hip|hop|hip hop|el aleman|rap|rap 2018|aleman letra,3244398,349623,6706,18907,https://i.ytimg.com/vi/tnNiSgovl4U/default.jpg,False,False
