,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
0,v2BFRqsoG_g,"MORGENSHTERN - Я КОГДА-НИБУДЬ УЙДУ (Official Video, 2021)",2021-10-31T09:00:12Z,UCWnqnojAgMdN0fQpr_xByJw,MORGENSHTERN,10,2021-11-01T00:00:00Z,клип|видео|финал|трек|я|когда|нибудь|уйду|скачать|слушать|текст|миллион|долларов|доллар|million|dollar|dollars|video|music|morgenstern|business|happiness|romanov|романов|реакция|final|сериал|моргенштерн|алишер,4951387,651569,14186,50295,https://i.ytimg.com/vi/v2BFRqsoG_g/default.jpg,False,False
1,dFeimaTDX84,"Человек, который УБИЛ ХЭЛЛОУИН [Страшно Реально]",2021-10-31T19:34:55Z,UC8M5YVWQan_3Elm-URehz9w,Utopia Show,24,2021-11-01T00:00:00Z,страшно реально|хеллоуни|хэллоуин|до того как стало страшно|утопия шоу|тру крайм,911113,216598,1526,16508,https://i.ytimg.com/vi/dFeimaTDX84/default.jpg,False,False
2,OyTZSuINv-s,UFC 267: Чимаев vs Ли - Полный бой,2021-10-30T20:29:18Z,UCU8bQExxd38i-mnn-GLOtfA,UFC Russia,17,2021-11-01T00:00:00Z,ufc|ufc 267|чимаев|хамзат чимаев,1685093,31184,2955,5501,https://i.ytimg.com/vi/OyTZSuINv-s/default.jpg,False,False
3,f_mK4MI--C4,Оживляем грузовик из ГДР спустя 10лет! Robur Lo 2002,2021-10-31T12:00:16Z,UC2hsvTzqdjsGOUnM-Ilai6Q,Combat Crew,2,2021-11-01T00:00:00Z,combat crew|комбат крю|combatcrew|робур|оживление мертвеца|оживление,646192,56686,832,3467,https://i.ytimg.com/vi/f_mK4MI--C4/default.jpg,False,False
4,NFBsM_vSMAM,Кто Меня Лучше Знает ??? МОЯ МАМА или ЛУЧШИЙ ДРУГ,2021-10-31T14:30:31Z,UC-UZpjx7fUGroVLfAIAKUYg,Дима Евтушенко,24,2021-11-01T00:00:00Z,Кто Меня Лучше Знает ??? МОЯ МАМА или ЛУЧШИЙ ДРУГ|Кто Меня Лучше Знает|КТО ЗНАЕТ МЕНЯ|МОЯ МАМА или ЛУЧШИЙ ДРУГ|ЗНАЕТ МЕНЯ ЛУЧШЕ|м5|m5|Magic Five|magicfive|евтушенко|Дима Евтушенко|дима из м5|евтушенко м5|мама против|кто знает лучше|кто знает меня лучше? мама или друг|кто знает лучше евтушенко|кто лучше меня знает|МАМА ПРОТИВ ДРУГ|кто лучше знает|мой друг против девушки|Девушка против лучшего друга|лучший друг или девушка|лучшая подруга или девушка,478785,55761,771,1896,https://i.ytimg.com/vi/NFBsM_vSMAM/default.jpg,False,False
5,Tw7m7vxBLXQ,ТИПИЧНЫЙ ПРИЗЫВ,2021-10-31T19:22:51Z,UCRkQ5F-b2qU2rYE7-GfGkOA,Виталий Орехов,23,2021-11-01T00:00:00Z,орехов|орешек|батя|подснежник|фитоняшка|анжела|vine|качалка|приколы|призыв|военкомат|армия|военком|даша карейка|осенний призыв|бурмич|витя химмаш|тамара|краповый берет|уклонисты|козина|военный билет|призыва нет|медосмотр|студенты|россия|смешное видео,519054,73264,852,2989,https://i.ytimg.com/vi/Tw7m7vxBLXQ/default.jpg,False,False
6,YNavLS-lkS4,Синяя Еда Челлендж | Едим еду одного цвета 24 часа Multi DO Challenge,2021-10-31T14:00:26Z,UCymIFDfS9DxVwZfZ4QqlGvg,Multi DO Challenge Russian,22,2021-11-01T00:00:00Z,[None],247655,2671,645,59,https://i.ytimg.com/vi/YNavLS-lkS4/default.jpg,False,False
7,7vG2QBiXUyE,Как я зарабатываю лазая по мусоркам Питера ? Dumpster Diving RUSSIA #13,2021-10-31T15:18:05Z,UCVeIZ3mYEkQzjKVowqgeGTA,ШТРЭБУХ,26,2021-11-01T00:00:00Z,помойки|свалка|находки|штрэбух|штребух|фриган|ГТА 5 в реальной жизни|Dumpster Diving RUSSIA|GTA 5 in RUSSIA|обзор находок из помойки|находки с мусорки|бедный и богатый|бедные люди|dumpster diving|dumpster diver|jackpot dumpster diving|dumpster haul|dumpster diving mega|apple store dumpster diving|Как я зарабатываю лазая по мусоркам Питера|помойки от первого лица|ищу находки|нашёл айфоны|помойка эпл стор|нашел айфон 12|мусорке|нашел айфон|заработок|денег,247492,13122,713,1268,https://i.ytimg.com/vi/7vG2QBiXUyE/default.jpg,False,False
8,0ofRcho4shM,НАМ ПОДКИНУЛИ РЕБЕНКА !,2021-10-31T09:00:00Z,UC2tsySbe9TNrI-xh2lximHA,A4,24,2021-11-01T00:00:00Z,НАМ ПОДКИНУЛИ РЕБЕНКА !|нам подкинули ребенка !|влад а4|влад бумага а4|влад бумага|а4|а4 новые видео|челлендж|а4 новые серии|a4|а4 новое видео|ребенок вор|ребенок бандит|стали няньками на 24 часа|24 часа с ребенком|карлик а4,7252623,605370,10629,64122,https://i.ytimg.com/vi/0ofRcho4shM/default.jpg,False,False
9,7KvOVS_bgJM,День 6 I Запись игр I Стрим А I PGL Major Stockholm 2021,2021-10-31T19:25:21Z,UCBiFae7FtktcnHAwmgUTOIg,WePlay RU,20,2021-11-01T00:00:00Z,PGL Major Stockholm 2021|PGL Major Stockholm|ксго мажор|кс мажор|ксго виплей|виплей ксго|csgo major|кс мажор на русском|weplay csgo|weplay csgo ru|weplay csgo major,603680,19386,286,33,https://i.ytimg.com/vi/7KvOVS_bgJM/default.jpg,False,False
10,ryIIL-nJUDk,"КОРОЧЕ ГОВОРЯ, МОЙ НОВЫЙ ДРУГ ИНОПЛАНЕТЯНИН [От первого лица] | Иккеро пришелец",2021-10-31T09:04:45Z,UCK8o7PWlBPbzhajib_P7FKg,ИККЕРО,22,2021-11-01T00:00:00Z,короче говоря|короче|короче говоря мой новый друг инопланетянин|короче говоря мой новый друг|короче говоря инопланетянин|короче говоря пришелец|короче говоря иккеро|инопланетянин от первого лица|мой новый друг|пришелец|инопланетянин|от первого лица|новый друг|иккеро инопланетянин|иккеро пришелец|КОРОЧЕ ГОВОРЯ|иккеро|ikkero|юмор|тренды|rjhjxt ujdjhz|rjhjxt,344593,30195,557,2398,https://i.ytimg.com/vi/ryIIL-nJUDk/default.jpg,False,False
11,b0f0_93QLdU,СИМПЛ И НАВИ БЕРУТ МАЖОР! ЗАЙВУ? ПОДВИНЬСЯ!,2021-10-31T06:27:44Z,UCLKB9g1374gcxezJINOLtag,РАЙЗ,20,2021-11-01T00:00:00Z,[None],568333,86796,797,1885,https://i.ytimg.com/vi/b0f0_93QLdU/default.jpg,False,False
12,aAjsBPt2zhE,Праздник обернулся кошмаром | Hype House Halloween,2021-10-31T07:00:00Z,UC8TfnoSqHuzq9magOZClnLw,Hype House Rus,22,2021-11-01T00:00:00Z,hype house|the hype house|karna val|валя карнавал|карнавал|karnaval|karna.val. хайп хаус|карнавал валя|голышева|катя голышева|голышева катя|екатерина голышева|голышева хайп хаус|гаврилина|юля гаврилина|юлия гаврилина|gavrilina|юлька шпулька|герман гласко|hype house rus|хайпхаус|hypehouse|герман глас|хэллоуин|хэллоуин хайп хаус|halloween|hype house halloween|хэллоуин в хай хаус,347371,26999,627,1041,https://i.ytimg.com/vi/aAjsBPt2zhE/default.jpg,False,False
13,7Hwab45Qq78,ВТОРАЯ ГЛАВА ➲ АНАЛИЗ ТРЕЙЛЕРА ➲ ТЕОРИИ И СЕКРЕТЫ Poppy Playtime Chapter 1 Chapter 2,2021-10-31T14:40:21Z,UCZUrS0zDszsXI_5ir_tI3cg,windy31,24,2021-11-01T00:00:00Z,poppy|poppy playtime|poppy playtime episode 1|poppy playtime эпизод 1|poppy playtime прохождение|poppy playtime концовка|poppy playtime все кассеты|папи плейтайм|поппи плейтайм|попи плейтам|poppy playtime секреты|poppy playtime теории|хагги|хаги ваги|хагги вагги|прохождение|хоррор|windy|windy31|винди|винди31|poppy playtime винди|вторая глава|poppy playtime chapter 2|вторая глава папи плейтайм|поппи вторая глава,598231,65277,567,3992,https://i.ytimg.com/vi/7Hwab45Qq78/default.jpg,False,False
14,24pTQSQSBHE,[PREVIEW] BTS (방탄소년단) ‘2022 SEASON’S GREETINGS' SPOT (Star Turned Villain),2021-10-31T15:00:06Z,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,10,2021-11-01T00:00:00Z,방탄소년단|BTS|BANGTAN|HIPHOP|알엠|RM|슈가|SUGA|제이홉|jhope|지민|JIMIN|정국|JUNGKOOK|JIN,5117742,1502110,1851,68362,https://i.ytimg.com/vi/24pTQSQSBHE/default.jpg,False,False
15,9agvbC19SRc,"Ольга Серябкина - О беременности, муже, венчании и новой жизни",2021-10-31T09:00:05Z,UCop3kn61J_3JhrYp7Jddkgw,FAMETIME TV,22,2021-11-01T00:00:00Z,ольга серябкина|серябкина|ольга серябкина интервью|серябкина муж|серябкина беременна|ольга серябкина кто муж|серябкина интервью|серябкина о муже|fametime tv|fametime серябкина|лаура джугелия|муж ольги серябкиной|серябкина о беременности|фэймтайм|ольга серябкина серебро|ольга серябкина о беременности,304603,6709,766,947,https://i.ytimg.com/vi/9agvbC19SRc/default.jpg,False,False
16,uVGa2rNsfOI,✈️КРУШЕНИЕ НА ОСТРОВ ХАГГИ ВАГГИ! ШЕДИ И НУБИК ПРОТИВ В МАЙНКРАФТ ТРОЛЛИНГ POPPY PLAYTIME MINECRAFT,2021-10-31T10:00:50Z,UCkNoJaaAYclU54cs5ARnC6A,MrShadyMan,20,2021-11-01T00:00:00Z,майнкрафт|minecraft|майн|в майнкрафт|в майн|троллинг|троллинг ловушка|игры|шеди мен|шеди и нубик|крушение в майнкрафт|крушение на остров в майнкрафт|крушение|остров|крушение на остров хагги вагги|крушение на остров хагги вагги в майнкрафт|хаги ваги|хагги вагги|хаги ваги в майнкрафте|хагги вагги в майнкрафт|майнкрафт хаги ваги|поппи плейтайм|minecraft poppy play time|шеди и нубик против хагги вагги|poppy play time|остров хагги вагги|huggy wuggy|хаги,298344,17986,734,237,https://i.ytimg.com/vi/uVGa2rNsfOI/default.jpg,False,False
17,uNiB8nJXFmE,ДО ТОГО КАК СТАЛО СТРАШНО #3,2021-10-31T21:31:27Z,UC1tGyMwuF6hUHRp2syrADOQ,Utopia Live,22,2021-11-01T00:00:00Z,до того как стало страшно|утопия шоу|utopia show,83085,23689,114,1787,https://i.ytimg.com/vi/uNiB8nJXFmE/default.jpg,False,False
18,8zyGQquL8VM,HELLUVA BOSS - OZZIE'S // S1: Episode 7 - FINALE PART I,2021-10-31T20:00:02Z,UCzfyYtgvkx5mLy8nlLlayYg,Vivziepop,1,2021-11-01T00:00:00Z,Vivziepop|Zoophobia,3072968,438921,1433,47430,https://i.ytimg.com/vi/8zyGQquL8VM/default.jpg,False,False
