,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
0,an8soNMxuMI,Иван Золо тратит 400 000. Некоглай в Шоке! Отец Ивана рассказал Правду,2022-01-31T11:09:43Z,UC9HCDfS7kfjfOzd0Fo_dlpQ,Тамаев Шоу,22,2022-02-01T00:00:00Z,асхаб тамаев|асхаб|асхаб тамаев шоу канал|иван золо|некоглай иван золо|иван золо и некоглай|иван золо тамаев|асхаб тамаев и иван золо|некоглай и иван золо|иван золо интервью|золо|иван золо тик ток|иванзоло|интервью иван золо|асхаб тамаев интервью|асхаб тамаев интервью с иваном золо|золо интервью|некоглай|тиктокер иван золо|иван золо родители|иван золо и асхаб тамев|тамаев и золо|золо и тамаев|встреча асхаба тамаева и ивана золо|золо иван|тамаев шоу,650140,85312,0,5472,https://i.ytimg.com/vi/an8soNMxuMI/default.jpg,False,False
1,WNi4HUotozc,ИРКУТСКИЙ ХОРРОР: тюремный беспредел. И впервые: откровения разработчиков,2022-01-31T07:00:19Z,UCvQXaJTjA3jRucTKN4CGiwg,Осторожно: Собчак,22,2022-02-01T00:00:00Z,собчак|ксения собчак|осторожно|интервью|осторожно собчак|Бунт в Ангарской колонии|ФСИН|Тюрьма|Гулагу.нет|Влад Марусов|осторожно репортаж|Иркутск|СИЗО|колония|насилие|гулаг|сизо|gulagu.net|гулагу нет|фсин|пытки|пытки в тюрьмах|владимир осечкин|бунт в колонии|бунт в колонии 2021|бунт в тюрьме|тюрьма|бунт зеков|бунт на зоне|территория ужаса|иркутский хоррор,1335036,64416,0,15618,https://i.ytimg.com/vi/WNi4HUotozc/default.jpg,False,False
2,ZgWpd6KYobg,РАСПАКОВКА ПОДАРКОВ. МОЙ ДЕНЬ РОЖДЕНИЯ.НЕУДАЧНАЯ СХОДКА,2022-01-31T16:35:55Z,UCVlPyvH-XhOVPovpLe0EkMw,ЭМИЛЬ,22,2022-02-01T00:00:00Z,РАСПАКОВКА ПОДАРКОВ. МОЙ ДЕНЬ РОЖДЕНИЯ.НЕУДАЧНАЯ СХОДКА|РАСПАКОВКА ПОДАРКОВ. МОЙ ДЕНЬ РОЖДЕНИЯ|МОЙ ДЕНЬ РОЖДЕНИЯ.НЕУДАЧНАЯ СХОДКА|РАСПАКОВКА ПОДАРКОВ|МОЙ ДЕНЬ РОЖДЕНИЯ|НЕУДАЧНАЯ СХОДКА|эмиль|эмиль канал|эмиль масленников|эмиль иманов|распаковка|подарки|подарки на день рождения|мой день рождения|сходка|полиция|поймала полиция|эмиль и дима масленников|эмиль сходка|эмиль и аля сходка|с днем рождения|мои подарки на день рождения|день рождения блогера,603725,77650,0,3943,https://i.ytimg.com/vi/ZgWpd6KYobg/default.jpg,False,False
3,NBQMwnZJcpc,Взорванная AUDI AllRoad за 240К рублей. Я мечтал о ней.,2022-01-31T17:38:26Z,UC0lT9K8Wfuc1KPqm6YjRf1A,AcademeG,2,2022-02-01T00:00:00Z,AcademeG|Академег|Академик|Тест|драйв|обзор|Test|drive|auto|авто|Костя|заруцкий,904100,64493,0,2636,https://i.ytimg.com/vi/NBQMwnZJcpc/default.jpg,False,False
4,KWpyoEGYHaw,ПЕРЕНОЧЕВАЛ во ДВОРЦЕ С ПРИВИДЕНИЯМИ В ПУСТЫНЕ,2022-01-30T12:55:20Z,UCwipTluVS2mjuhPtx2WU7eQ,Дима Масленников,24,2022-02-01T00:00:00Z,ПЕРЕНОЧЕВАЛ во ДВОРЦЕ С ПРИВИДЕНИЯМИ В ПУСТЫНЕ|ПЕРЕНОЧЕВАЛ во ДВОРЦЕ С ПРИВИДЕНИЯМИ|ДВОРЕЦ С ПРИВИДЕНИЯМИ|НОЧЬ во ДВОРЦЕ С ПРИВИДЕНИЯМИ|GhostBuster|масленников|дима масленников|масленников ночь|переночевал во дворце с привидениями|дворец с привидениями в пустыне|пустыня|заброшка в пустыне|эксперимент|ПЕРЕНОЧЕВАЛ в|НОЧЬ в|24 часа в|паранормальные явления|призрак|привидение|ночь на заброшке|дубай|оаэ|дворец с привидениями дубай|дом с привидениями|полтергейст,3914683,532046,0,38289,https://i.ytimg.com/vi/KWpyoEGYHaw/default.jpg,False,False
5,nfvfzS0o3o4,Невский. Охота на Архитектора. 1 серия,2022-01-31T17:00:13Z,UCsA_vkmuyIRlYYXeJueyIJQ,НТВ,1,2022-02-01T00:00:00Z,сериалы|Невский|сериал Невский|Невский Охота на Архитектора|охота на Архитектора|Невский все серии|Невский новый сезон|сериал Невский новый сезон|криминал|Невский новые серии|сериал про Невского|продолжение Невского|Невский пятый сезон|интересный сериал|сериал про полицию|детективный сериал|остросюжетный сериал|сериал про Семенова|Семенов|Васильев|Антон Васильев|Паламарчук|Невский на НТВ|Невский 5|Фома|Фома жив|Фома Невский|НТВ сериалы 2022|НТВ|NTV,497487,7811,0,920,https://i.ytimg.com/vi/nfvfzS0o3o4/default.jpg,False,False
6,OQ99Xe-Ey7E,"ПОСЛЕДНИЙ ШАНС ИЗМЕНИТЬ СВОЮ ЖИЗНЬ, неужели он его упустит?",2022-01-31T15:00:11Z,UC2bhfksrCXjguRr10mpkvag,СЛОВО ПАЦАНА,22,2022-02-01T00:00:00Z,слово пацана|многодетная семья|семья из деревни|до после|сделали ремонт|подарили игрушки детям|помогли|многодетный отец|многодетная мать|привезли подарки детям|невероятная реакция|мама заплакала|добро|доброе дело|добрый канал|слово пацана лицо|Подарили телефон|Прокормить семью|Подарок семье|очистил поле от мусора|подарок девочке|Нашли работу|Рома и Дима|Работа для Миши|Последний шанс,642597,62892,0,9717,https://i.ytimg.com/vi/OQ99Xe-Ey7E/default.jpg,False,False
7,hXCHPseyi2A,Стали КАРАТИСТАМИ на 24 Часа Челлендж !,2022-01-31T12:00:31Z,UC2tsySbe9TNrI-xh2lximHA,A4,24,2022-02-01T00:00:00Z,Стали КАРАТИСТАМИ на 24 Часа Челлендж !|Стали каратистами на 24 часа|Влад а4|а4|а4 новые видео|а4 новые серии|а4 каратисты|карате|стали каратистами|24 часа|влад бумага|каратэ|karate|мма|a4|челлендж|влад а4,7520939,758829,0,114952,https://i.ytimg.com/vi/hXCHPseyi2A/default.jpg,False,False
8,t_RG_fpQLGA,"Лютые приколы в играх | WDF 237 | Привет, Никитос!",2022-01-31T16:52:39Z,UCytQymKH0xWJsTS6A0cpTBA,gamewadafaq,20,2022-02-01T00:00:00Z,Приколы в играх|Баги в играх|Фэйлы в играх|gamewadafaq|приколы|смешные моменты в играх|GTA 5|grand theft auto v|ГТА 5|Приколы в GTA 5|GTA 5 смешные моменты|Тревор|Фейлы в ГТА 5|Трюки в GTA 5|баги|фейлы|Трюки|WDF|gameWDF|Приколы WDF|Подборка приколов в GTA 5|GTA 5 online|летсплей|Гта 5 моды|Gta 5 моды|моды|thug life|эпик|везения|мемы|игровыемемы|minecraft приколы|minecraft|майнкрафт мемы|лютые приколы в играх,389392,65406,0,3045,https://i.ytimg.com/vi/t_RG_fpQLGA/default.jpg,False,False
9,OWFe8OV5y0g,«МУТНЫЙ» ЛИИ СТЕФФИ ❌ БЕЗНАДЕЖНАЯ КНИГА ИЗ ВАТПАДА ОТ ЗВЕЗДЫ ТИК ТОКА (как это вообще издали?),2022-01-31T19:20:00Z,UC4xZXizv7SCrct1j4IIzMzQ,Anthony Uly,22,2022-02-01T00:00:00Z,лия стеффи|орлеан|книги|плохие книги|liasteffi|мутный|тик ток|shorts|лиястеффи|книжный обзор|литпозор|tik tok|фэнтези|литобзор|обзор книги|anthony uly|трэш обзор|буктьюб|тикток|ржака|приколы|тест на психику|тик ток видео|песни из тик ток|угар|тик ток книги|тик ток лучшее|смешной обзор|young adult|попаданцы|жизнь после смерти|young adult book|young|любовное фэнтези|молодежная литература|настоящая любовь|свет и тьма|стеффи орлеан|стеффи мутный|тик-ток,199965,42666,0,4107,https://i.ytimg.com/vi/OWFe8OV5y0g/default.jpg,False,False
